Problem Name	Problem14	Problem15	Problem16	Problem17	Problem18	Problem19	Problem20	Problem21	Problem22	Problem23	Problem24	Problem25
%(startStateNodeName)%	state9											
												
%(statement)%	You are trying to decide whether you want to go hear the symphony play Mozart or to go see the Pirates play the Mets. Tickets to the symphony cost $20 more than tickets to the baseball game.	"Mark wants to call his friend Jake, who lives in another state. The phone call costs 7 cents a minute. The cost of the phone call is based on the number of minutes."	Pierre has a recipe for lasagna that serves 6 people per batch. He wants to serve it at a party. The number of people served is based on the batches of lasagna.	"Geraldine recently ran against Walter for Student Council President. The final result: Geraldine won in a landslide, beating Walter by 35 votes!"	Cora has a CD rack. Each shelf holds 15 CDs.	If one pen lasts for two weeks:	"Jana and Mats are baking cupcakes for their class party, and they have already made 24 cupcakes. They are baking the cupcakes in batches of 12."	"Wynton's grandmother bought him a shiny new trumpet for his 13th birthday, and now he wants to sell his old one. His mother suggests that he place an ad in the local newspaper. To place the ad, Wynton must pay a one time fee of $15 to reserve a space in the classifieds section and a rate of $2 per line of the ad."	"Mindy's Sunshine Cadet troop has $100 in its fund right now. The big cookie sale is about to start, and the troop will make $3 for every box of cookies sold."	"Andy is a dog walker for his block, and he charges $5 per pooch. He owes his mother $20, which he has to repay before he can keep any of his earnings for himself."	"Jenny is a lifeguard at the community swimming pool, and she earns $5 an hour for her work. At the end of every month Jenny receives her paycheck. She always takes $50 out to spend on herself at the shopping mall, and she puts the rest into her savings account."	"Mario has saved up his allowance for a whole year to buy the new PlayMaster video game system. The PlayMaster machine alone costs $120, and each game Mario buys will cost him $40. He finally has enough money for the system and some games to go with it."
%(question1)%	"1. If tickets to the baseball game cost $10, how much do tickets to the symphony cost?"	1. How much will the phone call cost if Mark talks to Jake for 5 minutes?	"1. If he doubles the recipe, how many people will it serve?"	"1. If Geraldine received 45 votes, how many votes did Walter get?"	1. How many shelves will 60 CDs fill?	1. How long will 3 pens last?	"1. If they bake 3 more batches, how many cupcakes will they have in all?"	1. How much money will it cost Wynton to place an ad with 4 lines?	"1. If the troop sells 10 boxes, how much will it have in its fund altogether?"	"1. If Andy walks 4 dogs, how much money will he have for himself?"	"1. If Jenny works 10 hours in a given month, how much money does she put into her savings account?"	"1. If Mario buys 2 games, how much total money will he have spent?"
%(question2)%	"2. If tickets to the baseball game cost $15, how much do tickets to the symphony cost?"	2. How much will the phone call cost if Mark talks to Jake for 10 minutes?	"2. If he triples the recipe, how many people will it serve?"	"2. If Geraldine received 60 votes, how many votes did Walter get?"	2. How many shelves will 90 CDs fill?	2. How long will 4 pens last?	"2. If they bake 5 more batches, how many cupcakes will they have in all?"	2. How much money will it cost Wynton to place an ad with 5 lines?	"2. If the troop sells 15 boxes, how much will it have in its fund altogether?"	"2. If Andy walks 7 dogs, how much money will he have for himself?"	2. How much money does Jenny put into her savings account if she works 20 hours in a given month?	"2. If Mario buys 5 games, how much total money will he have spent?"
%(question3)%	"3. If tickets to the symphony cost $45, how much do tickets to the baseball game cost?"	3. How long did Mark and Jake talk if the phone call costs 91 cents?	"3. If 30 people are coming, how many batches of lasagna should Pierre make?"	"3. If Walter received 40 votes, how many votes did Geraldine get?"	"3. If 2 shelves are full, how many CDs does Cora have?"	"3. If you want enough pens for 10 weeks, how many pens do you need to buy?"	"3. If they have 36 cupcakes, how many more batches did they make?"	"3. If Wynton pays a total of $21, how many lines long was his ad?"	"3. If the troop has $106 in its fund after the sale, how many boxes did they sell?"	3. If Andy has $20 for himself after paying his mother how many dogs did he walk?	"3. If Jenny puts $175 into her savings account, how many hours did she work that month?"	"3. If Mario spent a total of $280, how many games did he buy?"
%(question4)%	"4. If tickets to the symphony cost $60, how much do tickets to the baseball game cost?"	4. How long did Mark and Jake talk if the phone call costs 63 cents?	"4. If 24 people are coming, how many batches of lasagna should Pierre make?"	"4. If Walter received 55 votes, how many votes did Geraldine get?"	"4. If 5 shelves are full, how many CDs does Cora have?"	"4. If you want enough pens for 12 weeks, how many pens do you need to buy?"	"4. If they have 48 cupcakes, how many more batches did they make?"	"4. If Wynton pays a total of $27, how many lines long was his ad?"	"4. If the troop has $160 in its fund after the sale, how many boxes did they sell? "	"4. If Andy has $10 for himself after paying his mother, how many dogs did he walk?"	"4. If Jenny puts $200 into her savings account, how many hours did she work that month?"	"4. If Mario spent a total of $360, how many games did he buy?"
%(instructions)%	"In the row labeled ""Expression"", define a variable for the cost of baseball game tickets and use that variable to write an expression that will allow you to calculate the cost of symphony tickets."	"In the row labeled ""Expression"", define a variable for the number of minutes and use that variable to write an expression that will allow you to calculate the cost of the phone call."	"In the row labeled ""Expression"", define a variable for the number of batches of lasagna and use that variable to write an expression that will allow you to calculate the number of people served."	"In the row labeled ""Expression"", define a variable for the number of votes Geraldine received and use that variable to write an expression that will allow you to calculate the number of votes Walter received."	"In the row labeled ""Expression"", define a variable for the number of CDs and use that variable to write an expression that will allow you to calculate the number of shelves."	"The number of weeks is based on the number of pens. In the row labeled ""Expression"", define a variable for the number of pens and use that variable to write an expression that will allow you to calculate the number of weeks."	"In the row labeled ""Expression"", define a variable for the number of batches and use that variable to write an expression that will allow you to calculate the total number of cupcakes."	"In the row labeled ""Expression"", define a variable for the number of lines and use that variable to write an expression that will allow you to calculate the total cost of the ad."	"In the row labeled ""Expression"", define a variable for the number of boxes of cookies they sell and use that variable to write an expression that will allow you to calculate the amount of money in the fund."	"In the row labeled ""Expression"", define a variable for the number of dogs and use that variable to write an expression that will allow you to calculate the amount of money Andy has for himself."	"In the row labeled ""Expression"", define a variable for the number of hours Jenny worked and use that variable to write an expression that will allow you to calculate the amount of money she put into her savings account."	"In the row labeled ""Expression"", define a variable for the number of games and use that variable to write an expression that will allow you to calculate the total amount of money Mario spent."
												
%(label1)%	The cost of baseball game tickets	The number of minutes	The number of batches of lasagna	The number of votes Geraldine received	The number of CDs	The number of pens	The number of batches	The number of lines	The number of boxes	The number of dogs	The number of hours Jenny worked	The number of games
%(label2)%	The cost of symphony tickets	The cost of the phone call	The number of people served	The number of votes Walter received	The number of shelves	The number of weeks	The total number of cupcake	The total cost of the ad	The amount of money in the fund	The amount Andy has for himself	The amount Jenny put into her savings account	The total amount Mario spent
%(unit1)%	dollars	minutes	batches	votes	CDs	pens	batch	lines	boxes	dogs	hours	games
%(unit2)%	dollars	cents	people	votes	shelves	weeks	cupcake	dollar	dollars	dollars	dollars	dollars
%(quan1)%	the cost of the baseball game tickets	the number of minutes	the number of batches of lasagna	the number of votes Geraldine received	the number of CDs	the number of pens	the number of batches	the number of lines	the number of boxes	the number of dogs	the number of hours Jenny worked	the number of games
%(quan2)%	the cost of the symphony tickets	the cost of the phone call	the number of people served	the number of votes Walter received	the number of shelves	the number of weeks	the total number of cupcakes	the total cost of the ad	the amount of money in the fund	the amount of money Andy has for himself	the amount of money Jenny put into her savings account	the total amount Mario spent
%(given1)%	10	5	2	45	60	3	3	4	10	4	10	2
												
