Problem Name	p1	p2	p3	p4
%(startStateNodeName)%	state39	state39	state39	state39
%(problemstatement)%	Please add 24.59 and 4.66	Please subtract 6.49 from 18.37	Please subtract 10.7 from 15.5	Please add 9.24 and 13.25
%(op)%	+	-	-	+
%(decimalposition)%	n1d5	n1d6	n1d4	n1d4
%(n1d1req)%	0	0	0	
%(n1d1)%	0	0	0	
%(n1d1hint1)%				
%(n1d1hint2)%				
%(n1d2req)%	0	0	1	
%(n1d2)%	0	0	1	
%(n1d2hint1)%				
%(n1d2hint2)%				
%(n1d3req)%	1	0	1	
%(n1d3)%	2	0	0	
%(n1d3hint1)%	Please enter the digit in the tens place of 24.59.			
%(n1d3hint2)%	The digit in the tens place of 24.59 is 2. Please enter 2.			
%(n1d4req)%	1	1	0	
%(n1d4)%	4	1	.	
%(n1d4hint1)%	Please enter the digit in the ones place of 24.59.			
%(n1d4hint2)%	The digit in the ones place of 24.59 is 4. Please enter 4.			
%(n1d5req)%	0	1	1	
%(n1d5)%	.	8	7	
%(n1d5hint1)%				
%(n1d5hint2)%				
%(n1d6req)%	1	0	0	
%(n1d6)%	5	.	0	
%(n1d6hint1)%	Please enter the digit in the tenths place of 24.59.			
%(n1d6hint2)%	The digit in the tenths place of 24.59 is 5. Please enter 5.			
%(n1d7req)%	1	1	0	
%(n1d7)%	9	3	0	
%(n1d7hint1)%	Please enter the digit in the hundredths place of 24.59.			
%(n1d7hint2)%	The digit in the hundredths place of 24.59 is 9. Please enter 9.			
%(n1d8req)%	0	1	0	
%(n1d8)%	0	7	0	
%(n1d8hint1)%				
%(n1d8hint2)%				
%(n1d9req)%	0	0	0	
%(n1d9)%	0	0	0	
%(n1d9hint1)%				
%(n1d9hint2)%				
%(n2d1req)%	0	0	0	
%(n2d1)%	0	0	0	
%(n2d1hint1)%				
%(n2d1hint2)%				
%(n2d2req)%	0	0	1	
%(n2d2)%	0	0	1	
%(n2d2hint1)%				
%(n2d2hint2)%				
%(n2d3req)%	0	0	1	
%(n2d3)%	0	0	5	
%(n2d3hint1)%				
%(n2d3hint2)%				
%(n2d4req)%	1	0	1	
%(n2d4)%	4	0	.	
%(n2d4hint1)%	Please enter the digit in the ones place of 4.66.			
