Problem Name	test1	test2	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p24	p25	p26	p27
					faded1			faded3								
%(startStateNodeName)%	state39	state39	state39	state39	state47	state39	state39	state46	state39	state39	state39	state39	state39	state39	state39	state39
%(problemstatement)%	Please subtract 6.49 from 18.37	Please subtract 10.7 from 15.5	"On an average day, Canadians spend 1.052 million dollars on video games. Of this total, 0.76 million is spent on Playbox games. How many millions of dollars do they spend on other video games per day?"	"The heaviest human brain was 3.045 kilograms, while the lightest was 0.67 kilograms. What was the difference in their weights?"	Lisa Lilly was the best runner in the eighth grade. One day she ran the 400m dash in 2.5 minutes and the 400m over low hurdles in 3.74 minutes. How much longer did it take her to run the 400m over low hurdles than it did to run the 400m dash?	A typical car accelerates from 0 to 60 mph in 5.4 seconds. The fastest car acceleration on record is 2.3 faster than this. What is the fastest car acceleration time?	"In 1926, an ounce of silver cose $0.50. In 1989, an ounce of silver was worth $5.23. How much more did silver cost in 1989?"	The earth is 12.742 megameters wide. How much wider is the earth than the moon if the moon is 1.74 megameters wide?	The biggest ice cream sundae weighed 22.9 tons. The makers used 18.4 tons of ice cream. How many tons of toppings did they add to the ice cream to make the sundae?	"Micron computer company spent $30.9 million on internet advertising in 1997, and IPM spent $20.1 million. What is the difference between the advertising costs (in millions)?"	The oldest Olympic bobsled champion was 48.99 years old. The youngest Olympic bobsled champion was 16.7 years old. What is the difference in age between the oldest and youngest champion?	Shawn has $50.09 and buys a fleece for $46.27. How much does he have left over?	"I spend $33 a week on food, and have budgeted $50.75 for food and entertainment. How much do I have left for entertainment each week?"	"Punxsutawney Phil, the famous weather-predicting groundhog, has accurately reported the end of winter 45.3% of the time. New Jersey's Woodrow K. Chuck has accurately predicted the end of winter 54.18% of the time. Woodrow K. Chuck has been how many percentage points better at predicting the weather than Punxsutawney Phil?"	"The oldest person to play professional baseball, Leroy ""Satchel"" Paige, was 59.219 years old. The youngest, Joseph Nuxhall, was 18.86 years old. What is the difference in their ages?"	"The longest running primetime TV show, the Simpsons, has been running for 20.51 years. The longest running comic strip, The Dandy, has run for 73.545. years. How much longer has the comic strip been running?"
%(temp-numbers)%	Please subtract 6.49 from 18.37	Please subtract 10.7 from 15.5	Please subtract 0.76 from 1.052	Please subtract 0.67 from 3.045	Please subtract 2.5 from 3.74	Please subtract 2.3 from 5.4	Please subtract 0.50 from 5.23	Please subtract 1.74 from 12.742	Please subtract 18.4 from 22.9	Please subtract 20.1 from 30.9	Please subtract 16.7 from 48.99	Please subtract 46.27 from 50.09	Please subtract 33 from 50.75	Please subtract 45.3 from 54.18	Please subtract 18.86 from 59.219	Please subtract 20.51 from 73.545
%(op)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(decimalposition)%	n1d6	n1d4	n1d5	n1d6	n1d4	n1d6	n1d5	n1d3	n1d7	n1d6	n1d4	n1d5	n1d3	n1d4	n1d6	n1d5
%(decimalposition2)%	n2d6	n2d4	n2d5	n2d6	n2d4	n2d6	n2d5	n2d3	n2d7	n2d6	n2d4	n2d5	n2d3	n2d4	n2d6	n2d5
%(carry_dec_loc)%	r1c6	r1c4	r1c5	r1c6	r1c4	r1c6	r1c5	r1c3	r1c7	r1c6	r1c4	r1c5	r1c3	r1c4	r1c6	r1c5
%(carry_dec_loc2)%	r2c6	r2c4	r2c5	r2c6	r2c4	r2c6	r2c5	r2c3	r2c7	r2c6	r2c4	r2c5	r2c3	r2c4	r2c6	r2c5
%(n1d1req)%	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
%(n1d1)%	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0
%(n1d1hint1)%								"In subtraction, you need to enter the larger number first. Which number should be entered in the top row for this problem?"					"In subtraction, you need to enter the larger number first. Which number should be entered in the top row for this problem?"			
%(n1d1hint2)%								12.742 is the larger number. Please enter the digit in the tens place of 12.742.					50.75 is the larger number. Please enter the digit in the tens place of 50.75.			
%(n1d1hint3)%								The digit in the tens place of 12.742 is 1. Please enter 1.					The digit in the tens place of 50.75 is 5. Please enter 5.			
%(n1d2req)%	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0
%(n1d2)%	0	1	0	0	0	0	0	2	0	0	4	0	0	5	0	0
%(n1d2hint1)%		"In subtraction, you need to enter the larger number first. Which number should be entered in the top row for this problem?"						Please enter the digit in the ones place of 12.742.			"In subtraction, you need to enter the larger number first. Which number should be entered in the top row for this problem?"		"In subtraction, you need to enter the larger number first. Which number should be entered in the top row for this problem?"	"In subtraction, you need to enter the larger number first. Which number should be entered in the top row for this problem?"		
%(n1d2hint2)%		15.5 is the larger number. Please enter the digit in the tens place of 15.5						The digit in the ones place of 2.742 is 2. Please enter 2.			48.99 is the larger number. Please enter the digit in the tens place of 48.99.		Please enter the digit in the ones place of 50.75.	54.18 is the larger number. Please enter the digit in the tens place of 54.18.		
%(n1d2hint3)%		The digit in the tens place of 15.5 is 1. Please enter 1.									The digit in the tens place of 48.99 is 4. Please enter 4.		The digit in the ones place of 50.75 is 0. Please enter 0.	The digit in the tens place of 54.18 is 5. Please enter 5.		
%(n1d3req)%	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	1
%(n1d3)%	0	5	0	0	3	0	0	.	0	0	8	5	---	4	0	7
%(n1d3hint1)%		Please enter the digit in the ones place of 15.5			"In subtraction, you need to enter the larger number first. Which number should be entered in the top row for this problem?"						Please enter the digit in the ones place of 48.99.	"In subtraction, you need to enter the larger number first. Which number should be entered in the top row for this problem?"		Please enter the digit in the ones place of 54.18.		"In subtraction, you need to enter the larger number first. Which number should be entered in the top row for this problem?"
%(n1d3hint2)%		The digit in the ones place of 15.5 is 5. Please enter 5.			3.74 is the larger number. Please enter the digit in the ones place of 3.74.						The digit in the ones place of 48.99 is 8. Please enter 8.	50.09 is the larger number. Please enter the digit in the tens place of 50.09.		The digit in the ones place of 54.18 is 4. Please enter 4.		73.545 is the larger number. Please enter the digit in the tens place of 73.545.
%(n1d3hint3)%					The digit in the ones place of 3.74 is 3. Please enter 3.							The digit in the tens place of 50.09 is 5. Please enter 5.				The digit in the tens place of 73.545 is 7. Please enter 7.
%(n1d4req)%	1	0	1	0	0	0	1	1	0	1	0	1	1	0	1	1
%(n1d4)%	1	---	1	0	.	0	5	7	0	3	---	0	7	---	5	3
%(n1d4hint1)%	"In subtraction, you need to enter the larger number first. Which number should be entered in the top row for this problem?"		"In subtraction, you need to enter the larger number first. Which number should be entered in the top row for this problem?"				"In subtraction, you need to enter the larger number first. Which number should be entered in the top row for this problem?"	Please enter the digit in the tenths place of 2.742.		"In subtraction, you need to enter the larger number first. Which number should be entered in the top row for this problem?"		Please enter the digit in the ones place of 50.09.	Please enter the digit in the tenths place of 50.75.		"In subtraction, you need to enter the larger number first. Which number should be entered in the top row for this problem?"	Please enter the digit in the ones place of 73.545.
%(n1d4hint2)%	18.37 is the larger number. Please enter the digit in the tens place of 18.37		1.052 is the larger number. Please enter the digit in the ones place of 1.052.				5.23 is the larger number. Please enter the digit in the ones place of 5.23.	The digit in the tenths place of 2.742 is 7. Please enter 7.		30.9 is the larger number. Please enter the digit in the tens place of 30.9.		The digit in the ones place of 50.09 is 0. Please enter 0.	The digit in the tenths place of 50.75 is 7. Please enter 7.		59.219 is the larger number. Please enter the digit in the tens place of 59.219.	The digit in the ones place of 73.545 is 3. Please enter 3.
%(n1d4hint3)%	The digit in the tens place of 18.37 is 1. Please enter 1.		The digit in the ones place of 1.052 is 1. Please enter 1.				The digit in the ones place of 5.23 is 5. Please enter 5.			The digit in the tens place of 30.9 is 3. Please enter 3.					The digit in the tens place of 59.219 is 5. Please enter 5.	
%(n1d5req)%	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	0
%(n1d5)%	8	5	---	3	7	5	---	4	2	0	9	---	5	1	9	---
