Problem Name	p1	p4	p5	p6	p7	p8	p9	p10	p11	p12	p23
							faded1				
%(startStateNodeName)%	state39	state39	state39	state39	state39	state39	state32	state39	state39	state39	state39
%(problemstatement)%	You have $4.66 in your pocket and $24.59 in your wallet. How much total money do you have with you?	"You are keeping track of how much gas you use on a road trip. Yesterday, you used 13.25 gallons of gas, and today, you used 9.24 gallons of gas before arriving at your destination. How many gallons of gas did you use on your trip?"	Please add 50.48 to 15.69.	Please add 6.95 to 2.48.	"Yesterday, you used 598.8 gallons of water to fill your swimming pool and 37.4 gallons of water to wash the family car. How many gallons of water did you use for both chores?"	You and your friend Christina go to the mall. You spend 39.86 dollars while shopping. Christina spends 2.55 dollars while shopping. How much money did you and Christina spend together?	"You are trying to eat healthy foods. For breakfast, you eat 8.124 grams of protein. For lunch, you eat 9.51 grams of protein. How much total protein did you eat at breakfast and lunch?"	You are training for the school's obstacle course. You finish the first half of the course in 983.3 seconds. The second half of the course takes you 140.6 seconds to complete. How long did it take you to finish the entire course?	You have a paper to write over the weekend. You spend 9.69 hours at the library on Saturday and go back to the library for 8.4 hours on Sunday to finish the paper. How much time did you spend in the library?	You and your friend Jeremy are baking cookies for the school bake sale. Your recipe uses 3.8 cups of sugar. Jeremy's recipe uses 6.97 cups of sugar. How many cups of sugar will you need to make both recipes?	"Your family is driving to an amusement park for a vacation. It will take two days to drive to the park. On the first day, you use 20.54 gallons of gas. On the second day, you use 5.06 gallons of gas. How many gallons of gas were used to drive to the park?"
%(temp-numbers)%	Please add 4.66 to 24.59.	Please add 13.25 to 9.24.	Please add 50.48 to 15.69.	Please add 6.95 to 2.48.	Please add 37.4 to 598.8.	Please add 2.55 to 39.86.	Please add 9.51 to 8.124.	Please add 140.6 to 983.3.	Please add 8.4 to 9.69.	Please add 6.97 to 3.8.	Please add 5.06 to 20.54.
%(op)%	+	+	+	+	+	+	+	+	+	+	+
%(decimalposition)%	n1d5	n1d4	n1d6	n1d6	n1d7	n1d5	n1d6	n1d5	n1d6	n1d6	n1d6
%(decimalposition2)%	n2d5	n2d4	n2d6	n2d6	n2d7	n2d5	n2d6	n2d5	n2d6	n2d6	n2d6
%(carry_dec_loc)%	c5	c4	c6	c6	c7	c5	c6	c5	c6	c6	c6
%(n1d1req)%	0	0	0	0	0	0	0	0	0	0	0
%(n1d1)%	0	0	0	0	0	0	0	0	0	0	0
