Problem Name	00intro2	13ABDE	14FIRE	15LEAF	16ROFL	17JKLM	18ABC	19SPIN	20LAND	21SKW	22EVO	23NEAT	24MILK	25FROG	26GHI	27SALT	28RHOM
%(startStateNodeName)%	state23	labelFill	start	start	start	start	start	start	start	start	start	start	start	start	start	start	start
%(graphic)%	00ABDE	13%(geoName)%	14%(geoName)%	15%(geoName)%	16%(geoName)%	17%(geoName)%	18%(geoName)%	19%(geoName)%	20%(geoName)%	21%(geoName)%	22%(geoName)%	23%(geoName)%	24%(geoName)%	25%(geoName)%	26%(geoName)%	27%(geoName)%	28%(geoName)%
%(statement)%	"In parallelogram %(geoName)%, segment AB is parallel to segment DE and segment BD, and AE are also parallel. Using this information, solve the following questions."	"Shape %(geoName)% is a parallelogram, that means segment AB and DE are parallel to each other, and BD and AE are parallel to each other as well. Using this information, solve the following question."	"In parallelogram %(geoName)%, segment IR is parallel to segment FE and segment FI and RE are also parallel. Using this information, solve the following question."	"In parallelogram %(geoName)%, segment LE is parallel to segment FA and segment LF and EA are also parallel. In the next problem, you will have to figure out which sides are parallel to each other on your own!"	"In a parallelogram, ANY side can be the ""base"" as long as it is perpendicular to the ""height""! In the parallelogram %(geoName)% below, OP represents the altitude (or height). Both RO and LF can be used as the base; they are BOTH perpendicular to the height. In this problem, RO is chosen. On the next problem, you can choose your own!"	"JKLM is a parallelogram. Using this information, solve the following questions."	"In Hawaii, there is a hut called ""Pu'uhonua O Honaunau"". It means ""The Place of Refuge of Honaunau."" This was the home of the ruling chief, as well as a place where people who had violated sacred laws could seek forgiveness and safety form the other villagers."	"Two parallelograms you below are the same parallelogram, it is just that one is rotated clock wise 90 degrees from the other. Practice using different heights and base to calculate the area with the parallelogram SPIN!"	"There is a land shaped like a parallelogram, and you are gathering information about it with a help of a partner. You measured Parallelogram %(geoName)%'s both of the heights, but your lazy parter only measured one base. "	"SKW is a triangle. KE is perpendicular to SE. Using the information provided, solve the following question."	"EVO forms a triangle as shown. MO and EV are parallel to each other. That means MV is perpendicular to both MO and EV. Using the information provided, solve the following question."	"%(geoName)% is a parallelogram. Using the information provided, fill in the table below completely. "	Parallelogram MILK and Parallelogram CUKI look different but they have the same area. 	"FROG is a parallelogram. Two heights are marked with dotted lines. 'Base #1' is perpendicular to 'Height #1', and 'Base #2' is perpendicular to 'Height #2'. "	"Ki'I pohaku is the Hawaiian word for petroglyph - an ancient rock carving. The carving above can be found in Waikoloa, Hawaii. The body of the individual forms a triangle."	"SALT is a parallelogram. Using this information, solve the following questions."	RHOM is a very special parallelogram called a Rhombus. It is a parallelogram where all 4 of its sides have the same length!
%(size)%	3	5	3	3	3	3	3	3	3	3	3	5	5	5	3	3	4
%(question1)%	"(1) If the parallelogram's base is 5 inches, and the height is 3 inches, what is %(geoName)%'s area?"	"(1) If AB = 14 cm, and AE = 6 cm, what is parallelogram %(geoName)%'s perimeter?"	"(1) If the measure of segment FE is 6 cm, the measure of segment FI is 4.5 cm and the measure of segment RS is 3 cm. Find the perimeter of the parallelogram."	"(1) Find the area of parallelogram %(geoName)% if FA = 8 ft, and FS = 3 ft."	"(1) If the measure of segment RO = 40 cm and the measure of segment OP is 12 cm, find the Area of the Paralleogram."	"(1) If KL is 7.2 inches, ML is 9.0 inches, and NL is 6 inches, find the area of the parallelogram."	"(1) Find the area of the entrance to this place of refuge. The width of the entrance, AC, is 7.1 ft. The length of each of the side edges of the hut, AB and BC, is 6.8 ft. The distance from the floor to the roof, DC, is 5.0 ft."	"(1) As marked on graph A, SN = 3 ft and SP = 8ft. But only one height is known: IJ = 5.5. What is the area of SPIN?"	(1) Two heights of parallelogram LAND you measured are: AC = 20 yards and BD = 16 yards. Your partner measured just one base: AN = 10 yards. What is LAND's area?	"(1) In triangle SKW, SK = 22.4 m, KE = 20.0 m, and SW = 10.0 m. Find the area of the triangle."	"(1) MO = 6.3 cm, OV = 14.2 cm, EV = 6.9 cm, and MV = 5.5 cm. Find the area of the triangle."	"(1) If segment NE is 9 cm long, segment EA is 5.5 cm long, and the segment MN is 6 cm long, find the perimeter and the area of the parallelogram."	"(1) MILK's base is 90 mm long, and its height is 60mm long, making its area 5400 sq. mm. If CUKI's height(UV) is 10 mm long, what is the length of IK?"	"(1) Let's say you know the lengths of two sides: RO = 27 in, and FR = 9 in. You also know one of the heights: AG = 9.5 in. Find the the area of FROG."	"(1) Find the area of rock covered by the triangle. The ""shoulders"", GH, is 2 inches wide, the side HI is 8.5 inches, and GJ is 16.4 inches."	"(1) If SA = 0.5 mm, ST = 0.15 mm, and SQ = 0.35 mm, find the area of SALT. "	"(1) You only know two things: length of segment RH which is 24 ft, and MN which is 17 ft. Find RHOM's perimeter and area."
%(question2)%	"(2) If the parallelogram's base is 9 inches, and the area is 90 square inches, how long is %(geoName)%'s height?"	"For the ""Expression"" row, use ""S"" for the length of the base, and ""T"" for the length of the side adjacent to the base. "	"Just like the previous problem, use ""S"" for the base, and ""T"" for the side adjacent to the base."	-	"(2) Find length of the height of Parallelogram %(geoName)% if you know that Area = 72 sq. cm, RL = 9 cm, and LF = 10  cm."	"(2) If the area of the parallelogram is 24 square inches, ML = 6 inches, and JM = 6 inches, find NL."	-	"(2) Graph B is the same parallelogram, so SN = 3 ft and SP = 8ft. But this time, a different height is known: ST = 2.5. What is the area of SPIN?"	"(2) If two heights of parallelogram LAND you measured are: AC = 12 yards,  BD = 8 yards, and the base your partner measured is AL = 9 yards, what is LAND's area?"	-	-	"(2) If the area of the parallelogram is 50 sq. cm, NE = 12cm, and NT = 10cm, what is its height and perimeter?"	"(2) Let's say, on MILK, IJ = 20 mm and LK = 15 mm. If CUKI's segment CU is 50 mm, what is parallelogram CUKI's height(UV)? "	"(2) Let's say you know the area of FROG: A = 90 square inches, and both of the heights: BG = 10 in. and AG = 6 in. Find the length of FR."	-	"(2) If the area of SALT is 3.4 sq. mm, find the length of SQ, knowing that SALT's base is 2 mm. "	-
%(question3)%	"(3) If the parallelogram's height is 6 inches, and the area is 30 square inches, how long is segment AB?"	-	-	-	"(3) Find the length of LF, the base of Parallelogram %(geoName)% if you know that Area = 45 sq. cm., OF = 5 cm, and OP = 3 cm."	"(3) If the area of the parallelogram is 96 square inches, NL = 8 inches, JK = 10 inches, find KL."	-	"Note: Graph A and B are the same parallelogram, so answering question 1 and 2 should give out a certain identical value. Find out what it is! "	"Note: Parallelogram LAND in question 1 and 2 does NOT have the same measurement! This is not like the previous problem, where the measurement stayed the same for question 1 and 2."	-	-	"(3) Let's say the perimeter is known: P = 40cm, and lengths of two sides, NM = 6 cm, and AT = 7cm. Find the base and the area!"	-	"(3) Let's say you know the lengths of two sides: RO = 5 in, and OG = 2 in, and but just one height: AG = 1.4 in. Find the length of BG."	-	"(3) If the area of SALT is 4.2 sq. mm, find length of AL, knowing that SALT's height, SQ is 2.1 mm. "	-
%(geoName)%	ABDE	ABDE	FIRE	LEAF	ROFL	JKLM	ABC	SPIN	LAND	SKW	EVO	NEAT	MILK	FROG	GHI	SALT	RHOM
																	
%(trgtExpBase1)%	-	AE|EA	FE|EF	FA|AF	RO|OR	KL|LK	-	SN|NS	AN|NA	-	-	EA|AE	LK|LK	FR|RF	-	ST|TS	RH|HR
