Problem Name	GCF-16_24	GCF-6_28	GCF-8_44	GCF-9_21	GCF-13_26	GCF-15_45	GCF-18_24	GCF-20_30	GCF-25_75	GCF-27_45	GCF-30_56	GCF-36_39
%(startStateNodeName)%	state24	state66	state10									
%(Var1)%	16	6	8	9	13	15	18	20	25	27	30	36
%(Var2)%	24	28	44	21	26	45	24	30	75	45	56	39
%(Var1-Factors)%	R[1-3]C[1-2]	R[1-2]C[1-2]	R[1-2]C[1-2]	R[1-2]C[1-2]	R1C[1-2]	R[1-2]C[1-2]	R[1-3]C[1-2]	R[1-3]C[1-2]	R[1-2]C[1-2]	R[1-2]C[1-2]	R[1-4]C[1-2]	R[1-5]C[1-2]
%(Var2-Factors)%	R[1-4]C[3-4]	R[1-3]C[3-4]	R[1-3]C[3-4]	R[1-2]C[3-4]	R[1-2]C[3-4]	R[1-3]C[3-4]	R[1-4]C[3-4]	R[1-4]C[3-4]	R[1-3]C[3-4]	R[1-3]C[3-4]	R[1-4]C[3-4]	R[1-2]C[3-4]
%(RangeLeft)%	R[4-5]C[1-2]	R[3-5]C[1-2]	R[3-5]C[1-2]	R[3-5]C[1-2]	R[2-5]C[1-2]	R[3-5]C[1-2]	R[4-5]C[1-2]	R[4-5]C[1-2]	R[3-5]C[1-2]	R[3-5]C[1-2]	R5C[1-2]	
%(RangeRight)%	R5C[3-4]	R[4-5]C[3-4]	R[4-5]C[3-4]	R[3-5]C[3-4]	R[3-5]C[3-4]	R[4-5]C[3-4]	R5C[3-4]	R5C[3-4]	R[4-5]C[3-4]	R[4-5]C[3-4]	R5C[3-4]	R[3-5]C[3-4]
%(Var1-NotFactorError)%	[^(1|16|2|8|4)]	[^(1|6|2|3)]	[^(1|8|2|4)]	[^(1|9|3)]	[^(1|13)]	[^(1|15|3|5)]	[^(1|18|2|9|3|6)]	[^(1|20|2|10|4|5)]	[^(1|25|5|5)]	[^(1|27|3|9)]	[^(1|30|2|15|3|10|5|6)]	[^(1|36|2|18|3|12|4|9|6)]
%(Var2-NotFactorError)%	[^(1|24|2|12|3|8|4|6)]	[^(1|28|2|14|4|7)]	[^(1|44|2|22|4|11)]	[^(1|21|3|7)]	[^(1|26|2|13)]	[^(1|45|3|15|5|9)]	[^(1|24|2|12|3|8|4|6)]	[^(1|30|2|15|3|10|5|6)]	[^(1|75|3|25|5|15)]	[^(1|45|3|15|5|9)]	[^(1|56|2|28|4|14|7|8)]	[^(1|39|3|13)]
%(Fac11)%	1	1	1	1	1	1	1	1	1	1	1	1
%(Hint11-1)%	Enter a factor of 16. Start with the smallest one.	Enter a factor of 6. Start with the smallest one.	Enter a factor of 8. Start with the smallest one.	Enter a factor of 9. Start with the smallest one.	Enter a factor of 13. Start with the smallest one.	Enter a factor of 15. Start with the smallest one.	Enter a factor of 18. Start with the smallest one.	Enter a factor of 20. Start with the smallest one.	Enter a factor of 25. Start with the smallest one.	Enter a factor of 27. Start with the smallest one.	Enter a factor of 30. Start with the smallest one.	Enter a factor of 36. Start with the smallest one.
