Problem Name	Favorite1	Favorite2	Find1	Find2	Find3	Find4	Fishing	Track	Cookout	Pizza	Money	Fade1	Fade2	Fade3
%(startStateNodeName)%	state9	6_26	6_26	6_26	6_26	6_26	6_26	6_26	6_26	6_26	6_26	state13		state18
%(P)%	"Billy and Suzy have the same favorite number. Billy tells you it is a multiple of 6, and Suzy tells you it is a multiple of 3. What could their favorite number be? Find the smallest possibility."	"Billy and Suzy have the same favorite number. Billy tells you it is a multiple of 12, and Suzy tells you it is a multiple of 15. What could their favorite number be? Find the smallest possibility."	"Find some common multiples of 2 and 5. Then, find the least common multiple of 2 and 5."	"Find some common multiples of 6 and 12. Then, find the least common multiple of 6 and 12."	"Find some common multiples of 2 and 7. Then, find the least common multiple of 2 and 7."	"Find some common multiples of 9 and 12. Then, find the least common multiple of 9 and 12."	"George goes fishing every 15 days, and he mows the lawn every 6 days. Today he did both. How many days will it be until he fishes and mows the lawn on the same day again?"	It takes Amelia 3 minutes to run a lap around the circular track at school. It takes her brother 4 minutes to run one lap. They are on the starting line and begin running at the same time. What are the next time when they both will be at the starting line at the same time?	"Sandra decided that she would figure out how many people she should invite to her cookout by the sizes of the packages of food she can buy. Hot dogs are sold in packages of 8; buns are sold in packages of 10. If she purchased the minimum number of packages of each to guarantee at least one hot dog and one bun for each guest, with none of the hot dogs or buns going to waste, how many guests are coming to the cookout?"	"Jean wants to have a pizza party for all of his friends. He orders cheese pizzas and pepperoni pizzas. Cheese pizzas are normally cut into 6 pieces, while pepperoni pizzas are cut into 8 pieces. He wants to have an equal number of pepperoni and cheese pizza slices available for his guests. What is the smallest number of slices of cheese pizza that he could order?"	Bob and Jerry have the same amount of money. Bob only has quarters (25 cents) and Jerry only has dimes (10 cents). What is the smallest possible amount of money (in cents) that Bob and Jerry could have?	"Find some common multiples of 2 and 3. Then, find the least common multiple of 2 and 3."	"Find some common multiples of 4 and 5. Then, find the least common multiple of 4 and 5."	"Find some common multiples of 8 and 14. Then, find the least common multiple of 8 and 14."
%(N1)%	3	12	2	6	2	9	15	3	8	6	25	2	4	8
%(PQ)%	The least common multiple of 3 and 6 is :	The least common multiple of 12 and 15 is :	The least common multiple of 2 and 5 is :	The least common multiple of 6 and 12 is :	The least common multiple of 2 and 7 is :	The least common multiple of 9 and 12 is :	The least common multiple of 15 and 6 is :	The least common multiple of 3 and 4 is :	The least common multiple of 8 and 10 is :	The least common multiple of 6 and 8 is :	The least common multiple of 25 and 10 is :	The least common multiple of 2 and 3 is :	The least common multiple of 4 and 5 is :	The least common multiple of 8 and 14 is :
%(N2)%	6	15	5	12	7	12	6	4	10	8	10	3	5	14
%(N1C1)%	3	12	2	6	2	9	15	3	8	6	25	2	4	8
%(N1C1H1)%	What is the first positive multiple of 3?	What is the first positive multiple of 12?	What is the first positive multiple of 2?	What is the first positive multiple of 6?	What is the first positive multiple of 2?	What is the first positive multiple of 9?	What is the first positive multiple of 15?	What is the first positive multiple of 3?	What is the first positive multiple of 8?	What is the first positive multiple of 6?	What is the first positive multiple of 25?	What is the first positive multiple of 2?	What is the first positive multiple of 4?	What is the first positive multiple of 8?
%(N1C1H2)%	3 X 1 = 3	12 X 1 = 12	2 X 1 = 2	6 X 1 = 6	2 X 1 = 2	9 X 1 = 9	15 X 1 = 15	3 X 1 = 3	8 X 1 = 8	6 X 1 = 6	25 X 1 = 25	2 X 1 = 2	4 X 1 = 4	8 X 1 = 8
%(N1C2)%	6	24	4	12	4	18	30	6	16	12	50	4	8	16
%(N1C2H1)%	What is the second positive multiple of 3?	What is the second positive multiple of 12?	What is the second positive multiple of 2?	What is the second positive multiple of 6?	What is the second positive multiple of 2?	What is the second positive multiple of 9?	What is the second positive multiple of 15?	What is the second positive multiple of 3?	What is the second positive multiple of 8?	What is the second positive multiple of 6?	What is the second positive multiple of 25?	What is the second positive multiple of 2?	What is the second positive multiple of 4?	What is the second positive multiple of 8?
%(N1C2H2)%	3 X 2 = 6	12 X 2 = 24	2 X 2 = 4	6 X 2 = 12	2 X 2 = 4	9 X 2 = 18	15 X 2 = 30	3 X 2 = 6	8 X 2 = 16	6 X 2 = 12	25 X 2 = 50	2 X 2 = 4	4 X 2 = 8	8 X 2 = 16
%(N1C3)%	9	36	6	18	6	27	45	9	24	18	75	6	12	24
%(N1C3H1)%	What is the third positive multiple of 3?	What is the third positive multiple of 12?	What is the third positive multiple of 2?	What is the third positive multiple of 6?	What is the third positive multiple of 2?	What is the third positive multiple of 9?	What is the third positive multiple of 15?	What is the third positive multiple of 3?	What is the third positive multiple of 8?	What is the third positive multiple of 6?	What is the third positive multiple of 25?	What is the third positive multiple of 2?	What is the third positive multiple of 4?	What is the third positive multiple of 8?
%(N1C3H2)%	3 X 3 = 9	12 X 3 = 36	2 X 3 = 6	6 X 3 = 18	2 X 3 = 6	9 X 3 = 27	15 X 3 = 45	3 X 3 = 9	8 X 3 = 24	6 X 3 = 18	25 X 3 = 75	2 X 3 = 6	4 X 3 = 12	8 X 3 = 24
%(N1C4)%	12	48	8	24	8	36	60	12	32	24	100	8	16	32
%(N1C4H1)%	What is the fourth positive multiple of 3?	What is the fourth positive multiple of 12?	What is the fourth positive multiple of 2?	What is the fourth positive multiple of 6?	What is the fourth positive multiple of 2?	What is the fourth positive multiple of 9?	What is the fourth positive multiple of 15?	What is the fourth positive multiple of 3?	What is the fourth positive multiple of 8?	What is the fourth positive multiple of 6?	What is the fourth positive multiple of 25?	What is the fourth positive multiple of 2?	What is the fourth positive multiple of 4?	What is the fourth positive multiple of 8?
