Problem Name	01vitamin	02marble	03sailfish	04pizza	05notebook	06car_trip	07defective	08bounce	09cookie	10sandwich	11basketball	12spring_carnival	13token	14widget	15nugget	00Bubble
%(startStateNodeName)%	Given Finished	Half Done	Given Entered	start	start	start	start	start	start	start	start	start	start	start	start	Actual Completion
%(statement)%	Larz and Joey are going to the local store to buy vitamins. Joey likes to buy his vitamins in 9 oz. containers. Larz doesn't like to go to the store that often so he buys a 36 oz. container. If the 36 oz. container costs $8.80, what should the 9 oz. container cost?	In a store, marbles are 20 for $5. How much would 10 marbles cost?	The world's fastest fish, the cosmopolitan sailfish, can travel 300.5 feet in 3 seconds. How far could this fish go in 60 seconds?	In a store, frozen pizzas are 8 for $6. How much will 2 pizzas cost?	At Cheap-Supplies.com, you can buy 20 notebooks for $30. You only need 4 notebooks. How much will they cost?	Bill is driving 400 miles from Pittsburgh to New York City. If he drives 50 mph (50 miles per hour), how many hours will the trip take?	A manufacturing company makes widgets. For every 100 widgets, about 5 of them are defective. How many defective widgets are likely to be made if 20 widgets are produced?	I know that if the Super-Bouncing-Ball is dropped from a height of 100m, it will bounce 35m high. If the ball bounced 3.5m high, from how high did I drop the ball?	The school cafeteria bought 90 bags of chocolate chip cookies. Each bag has an equal number of cookies. After two weeks, they have 30 bags of cookies left, and inside, there are a total of 120 cookies left. How many cookies were in all the bags two weeks ago?	A math student interviewed 60 fifth graders. 33 said they like peanut butter & jelly sandwiches. If he interviewed 20 new fifth graders, how many of them would be expected to like peanut butter & jelly sandwiches?	Your school needs to order basketballs for gym class. Gym-Supplies INC sells 75 basketballs for $450. How much will it cost your school to buy 15 basketballs?	You are buying prizes for the spring carnival, and 30 prizes cost $40. How much will it cost you to buy 90 prizes?	Your family goes to Cool-Video-Games for an evening for fun. $30 will buy you 20 tokens. How much does each token cost?	The Widget Manufacturing company works 24 hours a day. In a typical 24-hour day, the Widget company can produce 300 widgets. If the typical work shift consist of 8 hours, how many widgets are produced during the shift?	You have 12 gold nuggets, and they weigh 36 lbs. If each nugget is the same, how much does each nugget weigh?	In a store, marbles are 39 for $10.50. How much would 13 marbles cost?
%(final_statement)%	It should cost ____ dollars per 9 oz. container.	10 marbles would cost ____ dollars.	Cosmopolitan sailfish can travel ____ feet in 60 seconds.	2 pizzas will cost ____ dollars.	4 notebooks will cost ____ dollars.	The trip from Pittsburgh to New York City will take ____ hours.	____ defective widgets are likely to be made.	If the ball bonced 3.5m high, I dropped it from height of ____ m.	Two weeks ago, ____ cookies were in the bags.	____ fifth graders are expected to like peanut butter & jelly sandwiches.	It will cost your school ____ dollars to buy 15 basketballs.	It will cost you ____ dollars to buy 30 prizes.	Each token costs ____ dollars.	____ widgets are produced during the shift.	Each nugget weighs ____ lbs.	13 marbles would cost ____ dollars.
%(final_unit)%	dollars.	dollars.	feet.	dollars.	dollars.	hours.	widgets.	m.	cookies.	fifth graders.	basketballs.	dollars.	dollars.	widgets.	lbs.	dollars.
%(inverseProb)%	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0
%(from)%	Larz	They sell	Record	They sell	They sell	Speed	Recorded	I know	Now, after 2 weeks	Old interview	Gym-Supplies INC sells	They sell	They sell	By day	Total nuggets	They sell
%(to)%	Joey	You want	Travel	You want	You want	Trip	Produced	I dropped	2 weeks ago	New interview	School wants	You want	Each Token	By work shift	Each nugget	You want
%(item1)%	Container	Marbles	Seconds	Pizzas	Notebooks	Miles	Widgets	Bounced	Bags	5th Graders	Basketballs	Prizes	Tokens	Hours	Nuggets	Marbles
%(item2)%	Cost ($)	Cost ($)	Feet	Cost ($)	Cost ($)	Hours	Defective	Dropped	Cookies	Like sandwiches	Cost ($)	Cost ($)	Cost ($)	Widgets	Weight	Cost ($)

%(no-value)%	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.
%(incorrect)%	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.
