Problem Name	1	2	3	4	5	6	7	8	9	10	11
%(startStateNodeName)%
%(Statement)%	Hot Dogs are sold in packages of 10. Hot dog Buns are sold in packages of 8. What is the least number of each that Tina needs to buy so that she has the same number of hot dogs as buns?	Tony wants to send out some invitations with stickers on the envelopes. He has 12 star stickers and 15 bird stickers. He wants to divide the stickers evenly so that each envelope has the same number of stickers. How many stars and birds would go on each envelope? What is the largest number of envelopes that he can decorate evenly?	Lisa is making favor baskets for her sister's wedding. She is putting one mint and one chocolate into each basket. The mints come in bags of 9. The chocolates come in bags of 12. What is the smallest number of bags of mints and chocolates that Lisa can buy so she can make identical baskets. How many baskets will she be able to make?	Tia is making favor baskets for her sister's wedding. She has 28 chocolates and 35 mints. She wants to divide the chocolates and mints into the baskets so that each basket has the same number of candies. What is the largest number of baskets she could make. How many of each candy should be in each basket?	The new hardware store is having a grand opening. Every 10th customer gets a free hammer. Every 15th customer gets a free screwdriver. Which customer would be the first to get both a hammer and a screwdriver?	Elise has 18 bags of trail mix and 12 juice boxes. She wants to share them so each of her friends gets the same amount of trail mix and the same number of juice boxes. What is the largest number of friends she could invite? How many bags of trail mix and how many juice boxes would each friend get?	A florist is using daisies and roses to make bouquets. He wants each bouquet to be identical. He has 18 daisies and 45 roses. What is the largest number of identical bouquets that he can make? How many daisies and how many roses should be in each bouquet?	Tim and three friends found a great deal on tacos. The deal has packages of 6 tacos. What is the smallest number of tacos Tim and his friends would have to buy so that each could have the same number of tacos. 	Bob and Jackie are running around the mall parking lot. They both start at the same place and at the same time. Bob can complete one lap in 8 minutes and Jackie can complete one lap in 10 minutes. After how many minutes will both of them meet next at the starting point at the same time?	Sherri has 20 notebooks and 35 pencils. She is making back-to-school kits for her friends and she wants them all to be the same. What is the greatest number of identical back-to-school kits she can create so that there are no leftover notebooks and pencils?	Sidney works for a nursery. She waters all of the flowers every 4 days and waters the cactus plants every 10 days. Sidney watered the flowers and the cactus plants today, in how many days will she next water both on the same day?
%(label-1)%	Hot Dogs	Star	Mint	Mints	Hammer	Bags of trail mix	Roses	People	Bob	Notebooks	Flowers
%(label-2)%	Buns	Bird	Chocolate	Chocolates	Screwdriver	Juice boxes	Daisies	Tacos in a batch	Jackie	Pencils	Cactus
%(Original-value-1)%	10	12	9	35	10	18	45	4	8	20	4
%(Original-value-2)%	8	15	12	28	15	12	18	6	10	35	10
%(Operation-1)%	*	/	*	/	*	/	/	*	*	/	*
%(Operation-2)%	*	/	*	/	*	/	/	*	*	/	*
%(Factor-1)%	4	3	4	7	3	6	9	3	5	5	5
%(Factor-2)%	5	3	3	7	2	6	9	2	4	5	2
