Problem Name	introt1	fadedt2	fadedt3	fadedt4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16	t17	t18	t19	t20	t21	t22	t23	t24	t25	t26	t27	t28	t29	t30	t31	t32
%(startStateNodeName)%		state6	state3	state1																												
%(graphic)%	Assets/similar-t1.png	Assets/similar-t2.png	Assets/similar-t3.png	Assets/similar-t4.png	Assets/similar-t5.png	Assets/similar-t6.png	Assets/similar-t7.png	Assets/similar-t8.png	Assets/similar-t9.png	Assets/similar-t10.png	Assets/similar-t11.png	Assets/similar-t12.png	Assets/similar-t13.png	Assets/similar-t14.png	Assets/similar-t15.png	Assets/similar-t16.png	Assets/similar-t17.png	Assets/similar-t18.png	Assets/similar-t19.png	Assets/similar-t20.png	Assets/similar-t21.png	Assets/similar-t22.png	Assets/similar-t23.png	Assets/similar-t24.png	Assets/similar-t25.png	Assets/similar-t26.png	Assets/similar-t27.png	Assets/similar-t28.png	Assets/similar-t29.png	Assets/similar-t30.png	Assets/similar-t31.png	Assets/similar-t32.png
%(statement)%	"The triangles shown above are similar. Find the scale factor to find the values of the missing sides, then label the missing sides."	"The triangles shown above are similar. Find the scale factor to find the values of the missing sides, then label the missing sides."	"The triangles shown above are similar. Find the scale factor to find the values of the missing sides, then label the missing sides."	"The triangles shown above are similar. Find the scale factor to find the values of the missing sides, then label the missing sides."	"The triangles shown above are similar. Find the scale factor to find the values of the missing sides, then label the missing sides."	"The triangles shown above are similar. Find the scale factor to find the values of the missing sides, then label the missing sides."	"The triangles shown above are similar. Find the scale factor to find the values of the missing sides, then label the missing sides."	"The triangles shown above are similar. Find the scale factor to find the values of the missing sides, then label the missing sides."	"The triangles shown above are similar. Find the scale factor to find the values of the missing sides, then label the missing sides."	"The triangles shown above are similar. Find the scale factor to find the values of the missing sides, then label the missing sides."	"The triangles shown above are similar. Find the scale factor to find the values of the missing sides, then label the missing sides."	"The triangles shown above are similar. Find the scale factor to find the values of the missing sides, then label the missing sides."	"The triangles shown above are similar. Find the scale factor to find the values of the missing sides, then label the missing sides."	"The triangles shown above are similar. Find the scale factor to find the values of the missing sides, then label the missing sides."	"The triangles shown above are similar. Find the scale factor to find the values of the missing sides, then label the missing sides."	"The triangles shown above are similar. Find the scale factor to find the values of the missing sides, then label the missing sides."	"The triangles shown above are similar. Find the scale factor to find the values of the missing sides, then label the missing sides."	"The triangles shown above are similar. Find the scale factor to find the values of the missing sides, then label the missing sides."	"The triangles shown above are similar. Find the scale factor to find the values of the missing sides, then label the missing sides."	"The triangles shown above are similar. Find the scale factor to find the values of the missing sides, then label the missing sides."	"The triangles shown above are similar. Find the scale factor to find the values of the missing sides, then label the missing sides."	"The triangles shown above are similar. Find the scale factor to find the values of the missing sides, then label the missing sides."	"The triangles shown above are similar. Find the scale factor to find the values of the missing sides, then label the missing sides."	"The triangles shown above are similar. Find the scale factor to find the values of the missing sides, then label the missing sides."	"The triangles shown above are similar. Find the scale factor to find the values of the missing sides, then label the missing sides."	"The triangles shown above are similar. Find the scale factor to find the values of the missing sides, then label the missing sides."	"The triangles shown above are similar. Find the scale factor to find the values of the missing sides, then label the missing sides."	"The triangles shown above are similar. Find the scale factor to find the values of the missing sides, then label the missing sides."	"The triangles shown above are similar. Find the scale factor to find the values of the missing sides, then label the missing sides."	"The triangles shown above are similar. Find the scale factor to find the values of the missing sides, then label the missing sides."	"The triangles shown above are similar. Find the scale factor to find the values of the missing sides, then label the missing sides."	"The triangles shown above are similar. Find the scale factor to find the values of the missing sides, then label the missing sides."
																																
%(labelT1)%	Triangle ERY	Triangle BWG	Triangle KMH	Triangle SIP	Triangle TRE	Triangle HPY	Triangle RPG	Triangle PNK	Triangle ABC	Triangle JLK	Triangle ABT	Triangle YIB	Triangle FOR	Triangle LIM	Triangle HOT	Triangle WAG	Triangle JMK	Triangle XVY	Triangle GEN	Triangle THD	Triangle LAB	Triangle AIR	Triangle SAT	Triangle AEI	Triangle ATE	Triangle ILY	Triangle VAI	Triangle SLO	Triangle SIM	Triangle GAR	Triangle DYL	Triangle BOW
%(labelT2)%	Triangle KCP	Triangle NVQ	Triangle EIC	Triangle VLU	Triangle GBM	Triangle ADB	Triangle CJE	Triangle RSC	Triangle FLR	Triangle ABH	Triangle DOG	Triangle TOA	Triangle SMU	Triangle YWK	Triangle WRM	Triangle FLP	Triangle RYE	Triangle WZT	Triangle LSH	Triangle CVP	Triangle HTY	Triangle WDN	Triangle RZN	Triangle OUY	Triangle SPN	Triangle BHA	Triangle ESP	Triangle ITA	Triangle LEP	Triangle CYE	Triangle ANS	Triangle NLI
																																
%(givenSide1_nameLoc)%	label6	label6	label6	label6	label6	label6	label6	label6	label6	label6	label6	label6	label6	label6	label6	label6	label6	label6	label7	label7	label9	label7	label7	label10	label6	label6	label6	label6	label7	label6	label6	label6
%(givenSide2_nameLoc)%	label7	label7	label7	label7	label7	label7	label7	label7	label7	label7	label7	label7	label7	label7	label7	label7	label8	label8	label8	label8	label10	label9	label9	label6	label7	label7	label7	label7	label8	label7	label7	label7
%(givenSide3_nameLoc)%	label8	label8	label8	label8	label8	label8	label8	label8	label9	label9	label9	label9	label8	label8	label8	label8	label10	label10	label9	label9	label11	label10	label10	label7	label8	label8	label8	label8	label9	label8	label8	label8
%(givenSide4_nameLoc)%	label9	label9	label10	label9	label9	label9	label11	label9	label11	label11	label11	label11	label10	label10	label9	label10	label11	label11	label11	label11	label7	label11	label11	label8	label10	label9	label9	label9	label10	label10	label10	label10
																																
%(givenSide1_loc)%	st1	st1	st1	st1	st1	st1	st1	st1	st1	st1	st1	st1	st1	st1	st1	st1	st1	st1	st2	st2	larget1	st2	st2	larget2	st1	st1	st1	st1	st2	st1	st1	st1
%(givenSide2_loc)%	st2	st2	st2	st2	st2	st2	st2	st2	st2	st2	st2	st2	st2	st2	st2	st2	st3	st3	st3	st3	larget2	larget1	larget1	st1	st2	st2	st2	st2	st3	st2	st2	st2
%(givenSide3_loc)%	st3	st3	st3	st3	st3	st3	st3	st3	larget1	larget1	larget1	larget1	st3	st3	st3	st3	larget2	larget2	larget1	larget1	larget3	larget2	larget2	st2	st3	st3	st3	st3	larget1	st3	st3	st3
%(givenSide4_loc)%	larget1	larget1	larget2	larget1	larget1	larget1	larget3	larget1	larget3	larget3	larget3	larget3	larget2	larget2	larget1	larget2	larget3	larget3	larget3	larget3	st2	larget3	larget3	st3	larget2	larget1	larget1	larget1	larget2	larget2	larget2	larget2
																																
%(givenSide1_value)%	%(smallSide1)%	%(smallSide1)%	%(smallSide1)%	%(smallSide1)%	%(smallSide1)%	%(smallSide1)%	%(smallSide1)%	%(smallSide1)%	%(smallSide1)%	%(smallSide1)%	%(smallSide1)%	%(smallSide1)%	%(smallSide1)%	%(smallSide1)%	%(smallSide1)%	%(smallSide1)%	%(smallSide1)%	%(smallSide1)%	%(smallSide2)%	%(smallSide2)%	%(smallSide1)%	%(smallSide2)%	%(smallSide2)%	%(smallSide2)%	%(smallSide1)%	%(smallSide1)%	%(smallSide1)%	%(smallSide1)%	%(smallSide2)%	%(smallSide1)%	%(smallSide1)%	%(smallSide1)%
%(givenSide2_value)%	%(smallSide2)%	%(smallSide2)%	%(smallSide2)%	%(smallSide2)%	%(smallSide2)%	%(smallSide2)%	%(smallSide2)%	%(smallSide2)%	%(smallSide2)%	%(smallSide2)%	%(smallSide2)%	%(smallSide2)%	%(smallSide2)%	%(smallSide2)%	%(smallSide2)%	%(smallSide2)%	%(smallSide3)%	%(smallSide3)%	%(smallSide3)%	%(smallSide3)%	%(smallSide2)%	%(largeSide1)%	%(largeSide1)%	%(largeSide1)%	%(smallSide2)%	%(smallSide2)%	%(smallSide2)%	%(smallSide2)%	%(smallSide3)%	%(smallSide2)%	%(smallSide2)%	%(smallSide2)%
%(givenSide3_value)%	%(smallSide3)%	%(smallSide3)%	%(smallSide3)%	%(smallSide3)%	%(smallSide3)%	%(smallSide3)%	%(smallSide3)%	%(smallSide3)%	%(largeSide1)%	%(largeSide1)%	%(largeSide1)%	%(largeSide1)%	%(smallSide3)%	%(smallSide3)%	%(smallSide3)%	%(smallSide3)%	%(largeSide2)%	%(largeSide2)%	%(largeSide1)%	%(largeSide1)%	%(smallSide3)%	%(largeSide2)%	%(largeSide2)%	%(largeSide2)%	%(smallSide3)%	%(smallSide3)%	%(smallSide3)%	%(smallSide3)%	%(largeSide1)%	%(smallSide3)%	%(smallSide3)%	%(smallSide3)%
%(givenSide4_value)%	%(largeSide1)%	%(largeSide1)%	%(largeSide2)%	%(largeSide1)%	%(largeSide1)%	%(largeSide1)%	%(largeSide3)%	%(largeSide1)%	%(largeSide3)%	%(largeSide3)%	%(largeSide3)%	%(largeSide3)%	%(largeSide2)%	%(largeSide2)%	%(largeSide1)%	%(largeSide2)%	%(largeSide3)%	%(largeSide3)%	%(largeSide3)%	%(largeSide3)%	%(largeSide2)%	%(largeSide3)%	%(largeSide3)%	%(largeSide3)%	%(largeSide2)%	%(largeSide1)%	%(largeSide1)%	%(largeSide1)%	%(largeSide2)%	%(largeSide2)%	%(largeSide2)%	%(largeSide2)%
																																
%(givenSide1_name)%	RY	WG	MK	PS	TR	YP	RP	KN	BC	JL	BT	BY	OR	MI	HT	AG	JM	XY	NG	HT	HY	RI	ST	OY	EA	IL	AV	OL	IM	AR	DY	BW
%(givenSide2_name)%	ER	BW	MH	IP	ET	HP	PG	PK	AB	JK	AB	IY	FR	IL	OT	WG	JK	VY	GE	HD	TH	WD	RZ	AE	ET	IY	AI	SL	SM	GR	DL	OW
%(givenSide3_name)%	EY	BG	HK	IS	ER	HY	RG	PN	LR	AB	OG	AT	FO	LM	OH	WA	YE	WZ	HS	PC	TY	ND	RN	AI	AT	LY	VI	SO	EL	AG	LY	BO
%(givenSide4_name)%	CP	VQ	IC	UV	GB	BD	CE	CS	FR	BH	DG	OA	SU	WY	WM	FP	RE	ZT	LS	VP	AL	WN	ZN	EI	NP	BH	SP	AT	EP	CE	AS	LI
																																
%(solveSide1_nameLoc)%	label10	label10	label9	label10	label10	label10	label9	label10	label10	label10	label10	label10	label9	label9	label10	label9	label9	label9	label6	label6	label6	label6	label6	label9	label9	label10	label10	label10	label6	label9	label9	label9
%(solveSide2_nameLoc)%	label11	label11	label11	label11	label11	label11	label10	label11	label8	label8	label8	label8	label11	label11	label11	label11	label7	label7	label10	label10	label8	label8	label8	label11	label11	label11	label11	label11	label11	label11	label11	label11
																																
%(solveSide1_loc)%	larget2	larget2	larget1	larget2	larget2	larget2	larget1	larget2	larget2	larget2	larget2	larget2	larget1	larget1	larget2	larget1	larget1	larget1	st1	st1	st1	st1	st1	larget1	larget1	larget2	larget2	larget2	st1	larget1	larget1	larget1
%(solveSide2_loc)%	larget3	larget3	larget3	larget3	larget3	larget3	larget2	larget3	st3	st3	st3	st3	larget3	larget3	larget3	larget3	st2	st2	larget2	larget2	st3	st3	st3	larget3	larget3	larget3	larget3	larget3	larget3	larget3	larget3	larget3
																																
%(solveSide1_value)%	%(largeSide2)%	%(largeSide2)%	%(largeSide1)%	%(largeSide2)%	%(largeSide2)%	%(largeSide2)%	%(largeSide1)%	%(largeSide2)%	%(largeSide2)%	%(largeSide2)%	%(largeSide2)%	%(largeSide2)%	%(largeSide1)%	%(largeSide1)%	%(largeSide2)%	%(largeSide1)%	%(largeSide1)%	%(largeSide1)%	%(smallSide1)%	%(smallSide1)%	%(largeSide1)%	%(smallSide1)%	%(smallSide1)%	%(smallSide1)%	%(largeSide1)%	%(largeSide2)%	%(largeSide2)%	%(largeSide2)%	%(smallSide1)%	%(largeSide1)%	%(largeSide1)%	%(largeSide1)%
%(solveSide2_value)%	%(largeSide3)%	%(largeSide3)%	%(largeSide3)%	%(largeSide3)%	%(largeSide3)%	%(largeSide3)%	%(largeSide2)%	%(largeSide3)%	%(smallSide3)%	%(smallSide3)%	%(smallSide3)%	%(smallSide3)%	%(largeSide3)%	%(largeSide3)%	%(largeSide3)%	%(largeSide3)%	%(smallSide2)%	%(smallSide2)%	%(largeSide2)%	%(largeSide2)%	%(largeSide3)%	%(smallSide3)%	%(smallSide3)%	%(smallSide3)%	%(largeSide3)%	%(largeSide3)%	%(largeSide3)%	%(largeSide3)%	%(largeSide3)%	%(largeSide3)%	%(largeSide3)%	%(largeSide3)%
																																
%(solveSide1_name)%	KC	NV	IE	LU	MG	AD	CJ	RC	FL	AH	DO	OT	MU	KW	RM	LP	RY	WT	NE	DT	LB	AI	SA	OU	NS	BA	EP	IT	IS	YC	AN	NI
%(solveSide2_name)%	KP	NQ	CE	LV	MB	AB	JE	RS	AC	LK	AT	IB	SM	YK	RW	FL	MK	XV	HL	VC	AB	AR	AT	UY	SP	HA	SE	IA	LP	YE	SN	NL
%(solveSide1_nameCase)%	kc	nv	ie	lu	mg	ad	cj	rc	fl	ah	do	ot	mu	kw	rm	lp	ry	wt	ne	dt	lb	ai	sa	ou	ns	ba	ep	it	is	yc	an	ni
%(solveSide2_nameCase)%	kp	nq	ce	lv	mb	ab	je	rs	ac	lk	at	ib	sm	yk	rw	fl	mk	xv	hl	vc	ab	ar	at	uy	sp	ha	se	ia	lp	ye	sn	nl
%(solveSide1_nameOrder)%	CK	VN	EI	UL	GM	DA	JC	CR	LF	HA	OD	TO	UM	WK	MR	PL	YR	TW	EN	TD	BL	IA	AS	UO	SN	AB	PE	TI	SI	CY	NA	IN
%(solveSide2_nameOrder)%	PK	QN	EC	VL	BM	BA	EJ	SR	CA	KL	TA	BI	MS	KY	WR	LF	KM	VX	LH	CV	BA	RA	TA	YU	PS	AH	ES	AI	PL	EY	NS	LN
%(solveSide1_orderCase)%	ck	vn	ei	ul	gm	da	jc	cr	lf	ha	od	to	um	wk	mr	pl	yr	tw	en	td	bl	ia	as	uo	sn	ab	pe	ti	si	cy	na	in
%(solveSide2_orderCase)%	pk	qn	ec	vl	bm	ba	ej	sr	ca	kl	ta	bi	ms	ky	wr	lf	km	vx	lh	cv	ba	ra	ta	yu	ps	ah	es	ai	pl	ey	ns	ln
																																
%(smallSide1)%	8	4	12	4	7	7	5	8	8	12	24	5	8	10	9	8	4	8	4	12	12	9	6	20	8	8	7	10	8	4	24	12
%(smallSide2)%	6	3	9	3	6	6	4	7	6	5	7	5	4	6	6	6	3	6	3	5	6	6	3	10	5	6	6	8	5	3	7	9
%(smallSide3)%	10	5	15	5	8	8	8	9	10	13	25	7	10	12	12	10	5	10	5	13	15	12	6	20	12	9	6	15	13	5	25	15
%(sf)%	5	4	2	9	3	2	5	4	5	3	2	3	3/2	3/2	4/3	5/2	3	2	5	3	3/4	4/3	5/3	2/3	3	3	4	2	3	4	2	3
%(largeSide1)%	40	16	24	36	21	14	25	32	40	36	48	15	12	15	12	20	12	16	20	36	16	12	10	30	24	24	28	20	24	16	48	36
%(largeSide2)%	30	12	18	27	18	12	20	28	30	15	14	15	6	9	8	15	9	12	15	15	8	8	5	15	15	18	24	16	15	12	14	27
%(largeSide3)%	50	20	30	45	24	16	40	36	50	39	50	21	15	18	16	25	15	20	25	39	20	16	10	30	36	27	24	30	39	20	50	45
																																
