Problem Name	Problem1	Problem2	Problem3	Problem4	Problem5	Problem6	Problem7	Problem8	Problem9
%(startStateNodeName)%	state13	state7	state3						
									
%(statement)%	Taneesha's age is 10 years less than her brother Ben's age. Let's compare their ages.	Chaz and Nikki are standing in a long line to buy rock concert tickets. Nikki is 8 feet ahead of Chaz in the line. Let's compare Chaz's distance to Nikki's distance from the front of the line.	Large pizzas cost $9 each at the Pizza Emporium. Let's figure out how much the total cost is based on the number of pizzas you order.	"Two Pittsburgh skyscrapers were built at the same rate.  As they rose, the height of the Acme Building was always 3 stories more than the height of the Stilt Tower, since work was started on the Acme Building first.  Let's compare the height of the Acme Building to the height of the Stilt Tower."	"Tom and Huck are painting their backyard fences. They are painting at the same rate, but Huck started later and is 5 feet behind Tom. Let's compare the distance Tom has painted to the distance Huck has painted."	"A carton of eggs contains 12 eggs. If you know the number of eggs that you have, then you can figure out the number of cartons that you will need for them."	"Aaron, Benita, Cathy, and Derek pooled their money to buy a bunch of raffle tickets for a club fundraiser. They agreed that if any of the tickets were the winner, they would split the money evenly between them. If you know the amount of money they win then you can figure out the amount of each person's share."	"On average, the temperature in Los Angeles is 16 degrees higher than the temperature in San Francisco. Let's compare the temperature in Los Angeles to the temperature in San Francisco."	An airliner travels from Cincinnati to Cleveland 5 times faster than a bus. Let's compare the distance an airliner travels with the distance a bus travels in the same amount of time.
%(question1)%	"1. When Ben is 12, how old is Taneesha?"	"1. When Nikki is 20 feet from the front of the line, how far away is Chaz?"	1. How much do 2 pizzas cost?	"1. When the Stilt Tower was 5 stories tall, how tall was the Acme Building?"	"1. When Tom has painted 10 feet, how many feet will Huck have painted?"	"1. If you have 12 eggs, how many cartons do you need?"	"1. If they win $10000, how much does each person receive?"	"1. When the temperature in San Francisco is 42 degrees Farenheit , what do you expect the temperature to be in Los Angeles?"	"1. When a bus has traveled 50 miles, how far will an airliner have traveled?"
%(question2)%	"2. When Ben is 20, how old is Taneesha?"	"2. When Nikki is 16 feet from the front of the line, how far away is Chaz?"	2. How much do 4 pizzas cost?	"2. When the Stilt Tower was 7 stories tall, how tall was the Acme Building?"	"2. When Tom has painted 12 feet, how many feet will Huck have painted?"	"2. If you have 60 eggs, how many cartons do you need?"	"2. If they win $30000, how much does each person receive?"	"2. When the temperature in San Francisco is 63 degrees Farenheit, what do you expect the temperature to be in Los Angeles?"	"2. When a bus has traveled 125 miles, how far will an airliner have traveled?"
%(question3)%	"3. When Taneesha is 5, how old is Ben?"	"3. When Chaz is 14 feet from the front of the line, how far away is Nikki?"	3. How many pizzas can you buy with $27?	"3. When the Acme Building was 12 stories tall, how tall was the Stilt Tower?"	"3. When Huck has painted 10 feet, how many feet will Tom have painted?"	3. If you have 20 cartons how many eggs do you have?	"3. If they each receive $3000, what were the total winnings?"	"3. When the temperature in Los Angeles is 86 degrees Farenheit, what do you expect the temperature to be in San Francisco?"	"3. When an airliner has traveled 350 miles, how far will a bus have traveled?"
%(question4)%	"4. When Taneesha is 16, how old is Ben?"	"4. When Chaz is 9 feet from the front of the line, how far away is Nikki?"	4.How many pizzas can you buy with $45?	"4. When the Acme Building was 14 stories tall, how tall was the Stilt Tower?"	"4. When Huck has painted 20 feet, how many feet will Tom have painted?"	"4. If you have 100 cartons, how many eggs do you have?"	"4. If they each receive $5000, what were the total winnings?"	"4. When the temperature in Los Angeles is 98 degrees Farenheit, what do you expect the temperature to be in San Francisco?"	"4. When an airliner has traveled 500 miles, how far will a bus have traveled?"
%(instructions)%	"In the row labeled ""Expression"", define a variable for Ben's age and use that variable to write an expression that will allow you to calculate Taneesha's age."	"In the row labeled ""Expression"", define a variable for Nikki's distance and use that variable to write an expression that will allow you to calculate Chaz's distance."	"In the row labeled ""Expression"", define a variable for the number of pizzas and use that variable to write an expression that will allow you to calculate the total cost."	"In the row labeled ""Expression"", define a variable for the height of the Stilt Tower and use that variable to write an expression that will allow you to calculate the height of the Acme Building."	"In the row labeled ""Expression"", define a variable for the distance Tom has painted and use that variable to write an expression that will allow you to calculate the distance Huck has painted."	"In the row labeled ""Expression"", define a variable for the number of eggs and use that variable to write an expression that will allow you to calculate the number of cartons that you need."	"In the row labeled ""Expression"", define a variable for the amount of money they win and use that variable to write an expression that will allow you to calculate the amount of each person's share."	"In the row labeled ""Expression"", define a variable for the temperature in San Francisco and use that variable to write an expression that will allow you to calculate the temperature in Los Angeles."	"In the row labeled ""Expression"", define a variable for the distance a bus travels and use that variable to write an expression that will allow you to calculate the distance an airliner travels."
									
%(Label1)%	Ben's age	Nikki's distance	The number of pizzas	The height of Stilt Tower	The distance Tom has painted	The number of eggs	The amount of money they will win	Temperature in San Francisco	Distance traveled by bus
