Problem Name	01Garden	02Water	03Cookies	04Bicyclist	05Map	06Lemonade	07Driving	08Saturn	09Donation	10Haircuts	11Lemonade-2	12Eggs	13Running	14Snail	15Lemonade-3	16Clock	17Balloons	00Bubble
%(startStateNodeName)%	Given Finished	Half Done	Given Entered	start	start	start	start	start	start	start	start	start	start	start	start	start	start	Actual Completion
%(statement)%	You're planting a vegetable garden in your backyard. Last year, you had 3 tomato plants, which produced a total of 20 tomatoes. If you have 27 tomato plants this year, how many tomatoes should you expect your plants to produce?	Last week you purchased 12 bottles of water, on which you spent for $6.00. If the price of water has stayed the same and you purchased 24 bottles of water today, how much money did you spend on water today?	Last year, 60 people attended Henry's New Year's Eve party, for which Henry baked 120 gingerbread cookies. This year, Henry's New Year's Eve party is tomorrow. Henry wants to have the same ratio of cookies to people at his party this year as last year. If 15 people are going to attend Henry's party this year, how many gingerbread cookies should Henry bake for his New Year's Eve party?	A bicyclist likes to practice for a race by riding a distance of 30 miles in 50 minutes every morning. On the day of the race, she must ride at the same speed but for 1 hour and 40 minutes. What is the distance that the bicyclist must race?	Bill is planning a car trip with a road map on which there is a 2 inch-long scale that represents 50.5 miles. If he measures the distance of his trip to be 8 inches on the map, how many miles will Bill have to drive on his trip?	Your little sister is running a lemonade stand outside your house. The day that she started the stand, she sold 25 glasses of lemonade and made $2.25. If she has now sold a total of 75 glasses of lemonade, what is the total amount of money that she has made?	Bill is driving 400 miles from Pittsburgh to New York City. If he drives at a speed of 50 miles per hour and has no road troubles, how many hours will he have to drive to complete his trip?	You visited a friend on Planet Saturn. Saturn rotates faster than Planet Earth, making a day on Saturn shorter than a day on Earth. After 24 days passed on Saturn, you returned home to find that only 10 days had passed on Earth. This time, your friend will be visiting earth by himself, but he must come back before 12 Saturn days have passed. How long can he stay on Earth before his time runs out?	The radio station KMDX is donating dog food to help a local pet shelter. The people at the radio station offered to give the shelter 2 small bags of dog food for every 7 cans of pet food that are donated to the shelter. If the radio station has given the shelter a total of 8 small bags of dog food, how many cans of pet food have been donated to the shelter?	Hair-Be-Gone Hair Salon has a special offer where for every 6 haircuts that a customer pays for at the salon, the customer will receive 2 free bottles of shampoo. If Mandy's mom pays for her family to receive a total of 24 haircuts at Hair-Be-Gone Hair Salon during the course of a year, how many free bottles of shampoo will Mandy's mom receive?	Billy and Suzzy are running a lemonade stand in their local park. The recipe that they are using to make the lemonade requires 8 cups of sugar for every 5 pitchers of lemonade that is made. If they have followed the recipe and have sold 30 pitchers of lemonade, how many cups of sugar have they used?	The town of Eggsville is having its yearly Easter Egg Hunt, during which the town's residents search around the town for pink colored eggs that can be exchanged for special prizes. One of the town's special prize offers states that for every 10 pink colored eggs a resident finds, he or she can win 3 Nokemop cards. If Jenny wants to win 27 Nokemop cards at the Easter Egg Hunt, how many pink colored eggs will she need to find?	Amelia can run around her school's track at a speed of 3 laps every 12.5 minutes. One day, she decided to give herself a challenge and ran at the same speed for total of 37.5 minutes. How many laps did she run?	The fastest snail ever recorded could travel at a speed of 39.6 inches in 6 minutes. If you could watch this snail for just 2 minutes, how long would the snail travel as you watch?	Andrew is in charge of providing ice chips for his town's lemonade stand. Andrew has planned to give 9 ice chips for every 3 glasses of lemonade that the owner of the stand wants to sell. If the owner of the stand wants to sell a total of 300 glasses of lemonade, what is the total number of ice chips that Andrew needs to provide for the stand?	Uncle Sam's clock is the weirdest clock. The clock's minute hand loops around the clock at a rate of 3 loops every 20 minutes. If the clock has been running for 120 minutes, what is the total number of times that the minute hand looped around the clock?	Salma is buying balloons for her little brother's birthday party. In a store in Salma's neighborhood, each pack of 12 balloons costs $4.25, and she needs to buy 36 balloons. How much will Salma have to spend on balloons?	In a store, marbles are 39 for $10.50. How much would 13 marbles cost?
%(final_statement)%	You should expect your plants to produce _____ tomatoes this year.	You spent $_____ on water today.	Henry should bake _____ gingerbread cookies.	The bicyclist can ride a total of _____ miles.	Bill will have to drive _____ miles on his trip.	Your little sister has made a total of $_____.	Bill's will have to drive for _____ hours.	Your friend can stay on earth for _____ Earth days.	The shelter received _____ bags of dog food.	Mandy's mom will receive _____ free bottles of shampoo.	Billy and Suzzy have used _____ cups of sugar.	Jenny will need to find _____ pink colored eggs.	Amelia could run a total of _____ laps.	The snail would travel _____ inches.	Andrew needs to provide a total of _____ ice chips.	The minute hand has looped around the clock _____ times.	Salma will have to spend $_____ on balloons.	13 marbles would cost ____ dollars.
%(final_unit)%	tomatoes.	dollars.	gingerbread cookies.	miles.	miles.	dollars.	hours.	Earth Days.	bags of dog food.	free bottles of shampoo.	cups of sugar.	pink colored eggs.	laps.	inches.	ice chips.	times.	dollars.	dollars.
%(inverseProb)%	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0
%(from)%	Last Year	Last Week	Last Year	Practice	Scale	Start	Speed	Your visit	Offer	Offer	Recipe	Prize Offer	Speed	Speed	Plan	Rate	They sell	They sell
%(to)%	This Year	Today	This Year	Race	Trip	Now	Trip	Friend's Visit	Total	Year	Used	Need	Challenge	Total	Total	Total	Salma wants	You want
%(item1)%	Plants	Bottles	Cookies	Minutes	Miles	Glasses	Miles	Saturn Days	Bags of Dog Food	Haircuts	Pitchers of Lemonade	Pink Eggs	Minutes	Minutes	Ice Chips	Minutes	Balloons	Marbles
%(item2)%	Tomatoes	Cost ($)	People	Miles	Inches	Earnings ($)	Hours	Earth Days	Cans of Pet Food	Bottles of Shampoo	Cups of Sugar	Cards	Laps	Inches	Glasses	Loops	Cost ($)	Cost ($)
%(gvn1)%	3	12	120	50	50.5	25	50	24	2	6	5	10	12.5	6	9	20	12	39
