Problem Name	faded1	faded2	faded3	Problem1	Problem2	Problem3	Problem4	Problem5
%(startStateNodeName)%		state14	state11	state2				
%(problem_statement)%	Michael's FishMart sells a variety of fish species. In December, the store sold 1,000 total fish. The list below describes the varieties sold.	Walking through a strange forest you encounter a lot of magical creatures. Counting them you find that there are a total of 200 magical beings. The list below describes the creatures that you see.	In Felipe's Ristorante Italiano, they serve many Italian dishes. The most commonly sold items are pizza, lasagna, spaghetti with meatballs, eggplant parmigiana, and pasta primavera. Felipe's head chef reported the following numbers of meals served during the week of May 20th.	Lea teaches freshman Chemistry at the university. This semester, there are 800 students enrolled in the class. The list below shows how many students are enrolled in each section.	Katie participates in every fundraiser during the year for band. At the end of the year, she has raised $2000. The list below describes how much money she raised in each fundraiser.	The senior class at John Smith High School has ordered 400 balloons for the prom. The list below describes how many balloons of each color in the color scheme were ordered.	The girls' basketball team at Amberson High School has a sell-out crowd for the playoff game. The gymnasium holds 1500 fans. The list below describes the fans in attendance.	Miss Mitra is shopping for a new car. The car lot she visits has 600 available vehicles. The list below describes the different vehicles available.
%(problem_list)%	<ul><li>Rainbowfish: 170</li><li>Angelfish: 40</li><li>Goldfish: 90</li><li>Paradisefish: 150</li><li>Oscar Fish: 550</li></ul>	<ul><li>Dwarves: 50</li><li>Evil Wolves: 2</li><li>Talking Pigs: 40</li><li>Giants: 22</li><li>Bouncing ferns: 6</li><li>Fairies: 80</li></ul>	<ul><li>Pizza: 75</li><li>Lasagna: 125</li><li>Spaghetti with Meatballs: 100</li><li>Eggplant Parmigiana: 105</li><li>Pasta Primavera: 95</li></ul>	<ul><li>Section 1: 120</li><li>Section 2: 145</li><li>Section 3: 80</li><li>Section 4: 160</li><li>Section 5: 95</li><li>Section 6: 200</li></ul>	<ul><li>Candy: $800</li><li>Pizza: $700</li><li>T-shirt: $300</li><li>Sandwich: $200</li></ul>	<ul><li>Blue: 130</li><li>Purple: 125</li><li>Silver: 75</li><li>Black: 40</li><li>White: 30</li></ul>	<ul><li>Home Students: 750</li><li>Visiting Students: 525</li><li>Home Parents: 100</li><li>Visiting Parents: 50</li><li>Other Fans: 75</li></ul>	<ul><li>SUVs: 180</li><li>Sedans: 240</li><li>Trucks: 150</li><li>Convertibles: 30</li></ul>
%(question1)%	(1) What percent of the fish sold were Goldfish?	(1) What percent of magical creatures were talking pigs?	(1) What percent of meals served were lasagna?	(1) What percent of the students are enrolled in sections 1 or 6?	(1) What percent of the total raised was from selling candy or sandwiches?	(1) What percent of the balloons are neither blue nor white?	(1) What percent of the fans are students from the visiting school?	(1) What percent of the vehicles are convertibles?
%(question2)%	(2) What percent of the fish sold were not Angelfish?	(2) What percent of magical creatures were not bouncing ferns?	(2) What percent of meals served were eggplant parmigiana or pasta primavera?	(2) What percent of the students are enrolled in sections 2 or 5?	(2) What percent of the total raised was from selling candy or pizza?	(2) What percent of the balloons are black?	(2) What percent of the fans are not students from either school?	(2) What percent of the vehicles are sedans?
%(question3)%	(3) What percent of the fish sold were Rainbowfish or Oscar Fish?	(3) What percent of magical creatures were dwarves or fairies?	(3) What percent of meals served were not pizza?	(3) What percent of the students are not enrolled in section 4?	(3) What percent of her total was raised by selling T-shirts?	(3) What percent of the balloons are purple or silver?	(3) What percent of the fans are not parents or students from either school?	(3) What percent of the vehicles are not SUVs?
%(question4)%	(4) What percent of the fish sold were not Oscar Fish?	(4) What percent of magical creatures were not giants?	(4) What percent of meals served were spaghetti with meatballs?	(4) What percent of the students are enrolled in section 6?	(4) What percent of the total raised was from selling pizza, T-shirts, or sandwiches?	(4) What percent of the balloons are not black?	(4) What percent of the fans are students from the home school?	(4) What percent of the vehicles are SUVs or trucks?
%(tar1)%	90	40	125	320	1000	240	525	30
%(tar2)%	960	194	200	240	1500	40	225	240
%(tar3)%	720	130	425	640	300	200	75	420
