Problem Name	00intro	01shirt	02cd	03apartment	06carpet	08surfboard	04internet	05resort	07tennis	09pizza	10butterfly
%(startStateNodeName)%	done	example1	example2	example3							
%(problem_statement)%	"You are interested in buying some shirts from a mail order company. The shirts cost $15 each, with a flat shipping and handling charge of $5.00. For the grand opening celebration, if you buy more than 3 shirts, the first three shirts will be free! You have not decided on how many shirts to buy, but using x and y as your variables, you can represent this situation with this equation:"	"You are interested in buying some shirts from a mail order company. The shirts cost $20 each, with a flat shipping and handling charge of $6.00. For the grand opening celebration, if you buy more than 2 shirts, the first two shirts will be free! You have not decided on how many shirts to buy, but using x and y as your variables, you can represent this situation with this equation:"	"The National Music Club charges new members $2 for an introductory set of 5 CDs and charges $12 for each additional CD. Using X and Y as your variables, you can represent this situation with the function:"	"Pauline is designing an apartment building. The first two floors of the building will provide 15000 square feet of space for stores. Each additional story in the building will provide 6650 square feet of space for apartments. Pauline uses this equation to relate the number of stories in the new building to its total space in square feet. Using X and Y as your variables, you can represent this situation with the function:"	"Hilda and Vern are carpeting their living room and the stairs leading up from the living room. The floor space in the living room is 900 square feet, but they have no idea how many square feet of carpet will be needed for the stairs. Their new carpet costs $10.99 per square foot and there is an installation fee of $75. Hilda and Vern came up with this formula to compute their total costs, depending on how much carpet is needed for the stairs. "	"Chet took out a $25,000 loan to open a surfboard shop. He makes a $500 profit on each surfboard he sells. So far Chet has sold 15 surfboards. He wrote the following equation to figure out how many additional surfboards he needs to sell to pay off his loan. Using X and Y as your variables, you can represent this situation with this function:"	"Antoine has signed up with the GetConnected internet company. He pays a fixed fee of $15 per month for internet access. The first hour of connect time each month is free, and he pays $2 for each additional hour. Antoine wrote this equation to compute how much it will cost him for different total amounts of connect time in a month. Using X and Y as your variablees, you can represent this situation with the function:"	"The Pine Mountain resort is expanding. Currently, the resort has the main lodge that accommodates 50 guests, and 10 already existing cabins accommodate 6 guests. The manager is planning to build more cabins that also hold 6 guests. She uses this equation to think about the relationship between the number of new cabins and the total number of guests that can be accommodated. Using X and Y as your variables, you can represent this situation with the function:"	"On the Professional Women's Tennis Circuit, a player's rank is determined by a point system. Each player starts the year with some initial points based on her ranking the year before, and earns 200 points for each win during the year. Marian Williams started the year with 1800 points and had won 4 tournaments by the end of March. This formula shows how many points she will earn by the end of this year, depending on how many tournament she wins between April and December."	"Julie is catering a big party and each guest will be served one mini-pizza for dinner. The initial fee is $50 and that includes the first 10 pizzas. Julie charges $3 for each additional pizza. Julie uses this formula to calculate her bill: Using X and Y as your variables, you can represent this situation with the function:"	"Lizzy the butterfly scientists planted 5000 butterfly eggs in a park to help their survival; only 2 out of 100 eggs successfully becomes butterflies in the wild! This year, 150 new adult butterflies in the same park are reported. Lizzy is wondering how many of those butterflies flew in from a different place. Depending on the number of wild eggs that already existed, Lizzy can figure out how many of the butterflies came from far away using the following equation:"
%(problem_function)%	Y = 5 + 15 * ( X - 3 )	Y = 6 + 20 * ( X - 2 )	Y = 2 + 12 * ( X - 5 )	Y = 15000 + 6650 * ( X - 2 )	Y = 75 + 10.99 * ( X + 900 )	Y = 25000 - 500 * ( X + 15 )	Y = 15 + 2 * ( X - 1 )	Y = 50 + 6 * ( 10 + X )	Y = 1800 + 200 * ( X + 4 )	Y = 50 + 3 * ( X - 10 )	Y = 150 - 2/100 * ( X + 5000 )
%(problem_instructions)%	Please fill in the right-hand combo boxes with correct English descriptions that matches with the mathematical expressions and the left-hand. 	Please fill in the right-hand combo boxes with correct English descriptions that matches with the mathematical expressions and the left-hand. 	Please fill in the right-hand combo boxes with correct English descriptions that matches with the mathematical expressions and the left-hand. 	Please fill in the right-hand combo boxes with correct English descriptions that matches with the mathematical expressions and the left-hand. 	Please fill in the right-hand combo boxes with correct English descriptions that matches with the mathematical expressions and the left-hand. 	Please fill in the right-hand combo boxes with correct English descriptions that matches with the mathematical expressions and the left-hand. 	Please fill in the left-hand blanks with the mathematical expressions and the right-hand blanks with English descriptions of the expressions.	Please fill in the left-hand blanks with the mathematical expressions and the right-hand blanks with English descriptions of the expressions.	Please fill in the left-hand blanks with the mathematical expressions and the right-hand blanks with English descriptions of the expressions.	Please fill in the left-hand blanks with the mathematical expressions and the right-hand blanks with English descriptions of the expressions.	Please fill in the left-hand blanks with the mathematical expressions and the right-hand blanks with English descriptions of the expressions.
											
%(expression1)%	5	6	2	15000	75	25000	15	50	1800	50	150
%(expression2)%	3	2	5	2	900	15	1	10	4	10	5000
%(expression3)%	15	20	12	6650	10.99	500	2	6	200	3	2/100
%(expression4)%	x	x	x	x	x	x	x	x	x	x	x
%(expression5)%	x-3	x-2	x-5	x-2	x+900	x+15	x-1	10+x	x+4	x-10	x+5000
%(expression6)%	15*(x-3)	20*(x-2)	12*(x-5)	6650*(x-2)	10.99*(x+900)	500*(x+15)	2*(x-1)	6*(10+x)	200*(x+4)	3*(x-10)	2/100*(x+5000)
%(expression7)%	5+15*(x-3)	6+20*(x-2)	2+12*(x-5)	15000+6650*(x-2)	75+10.99*(x+900)	25000 - 500*(x+15)	15+2*(x-1)	50+6*(10+x)	1800+200(x+4)	50+3*(x-10)	150-2/100*(x+5000)
											
%(definition1)%	the number of shirts you decide to get	the number of shirts you pay for	the cost of the additional CDs you buy	the number of floors in the building for stores	the total price for the carpet	the total number of surfboards Chet sells	the fixed fee for monthly service	the number of guests the main lodge holds	Marian's points based on her ranking last year	the initial charge to cater a pizza party	the number of new butterflies reported this year
%(definition2)%	the price of each shirt	the cost of shipping	the price for each additional CD	the amount of apartment space per floor in the building	the carpet installation fee	the number of surfboards Chet has already sold	the number of hours of free connect time	the number of existing cabins	number of Marian's wins January-March	the number of pizzas included in the initial fee	the number of butterfly eggs planted by Lizzy
%(definition3)%	the number of shirts you pay for	the number of free shirts if you buy more than 2	the initial charge for the introductory set of CDs	the total store space on first two floors (square feet)	the total amount of carpet needed	the number of additional surfboards Chet sells	the hourly cost for connect time	the number of guests that each cabin holds	points for each win this year	the price for each additional pizza	the survival rate of the butterflies
%(definition4)%	the cost of shipping	the price of each shirt	the total number of CDs you buy	the number of floors in the building for apartments	the amount of carpet needed for the living room	the profit on each surfboard Chet sells	the total hours of connect time	the number of new cabins	Marian's tournament wins April-December	the total number of pizzas Julie provides	the number of wild butterfly eggs not planted by Lizzy
%(definition5)%	the number of free shirts if you buy more than 3	the number of shirts you decide to get	the number of CDs in the introductory set	the total number of floors in the building	the amount of carpet needed to cover the stairs	the amount of the loan	the hours of connect time after the first connect time	the total number of cabins	Marian's tournament wins January-December	the number of additional pizzas Julie provide	the total number of eggs in the wild after planting
%(definition6)%	the total cost of your purchase with shipping charge	the cost	the number of additional CDs you buy	the number of space	the price of the carpet per square foot	the number of surfboards Chet has already sold	the total cost for the hours of connect time	the total number of guests the cabins will hold	Marian's total points for tournament wins	the cost of the additional pizzas Julie provides	the total number of butterflies that grew up in the park
%(definition7)%	the size of the shirt	the size of the shirt	the cost	the number of floors	the color of the carpet	the cost for making one surfboard	the actual total monthly cost for internet use	the total number of guests that can be accommodated	Marian's total points by the end of this year	Julie's total bill to cater a pizza party	the number of foreign butterflies that came from far away
