Problem Name	8.7.1	8.7.2	8.7.3	8.7.4	8.7.5	8.7.6	8.7.7	8.7.8
%(startStateNodeName)%	state6	state3	state1	8.7.4	8.7.5	8.7.6	8.7.7	8.7.8
%(problemtext)%	"Mr. and Mrs. Moneybags are planning a birthday party for their daughter Monica. They are going to reserve a room at the Plaza Hotel and hire Anita Nice and the Goody-2-Shoes to perform. The Plazy charges $10 for every individual attending the party EXCEPT for the birthday girl and her two parents. <br/> <br/>Anita Nice and the Goody-2-Shoes demand a $500 fee to play for this event. The Moneybags will have to make up a guest list. Help them figure out how much the party will cost.<br/> <br/>(1) How much will it cost if they invite 100 people?<br/><br/>(2) How much will it cost if they invite 125 people?<br/><br/>(3) How much will it cost if they invite 150 people?<br/> <br/>In the row labeled ""Expression"", define a variable for the number of people and use that variable to write an expression that will allow you to calculate the total cost."	"The best selling novelist Cindy Shelton and her publishing company have made a generous offer to help out the World Famine Relief effort. The company has made an initial contribution of $500,000 to the charity and will donate $15,000 for every book she writes in the next three years AND for the five best sellers she released last year.<br/><br/>(1) How much will they donate if she writes 12 books?<br/><br/>(2) How much will they donate if she writes 15 books?<br/><br/>(3) How much will they donate if she writes 18 books?<br/><br/>In the row labeled ""Expression"", define a variable for the number of books and use that variable to write an expression that will allow you to calculate the total amount donated."	"The Cinematic Movie Theater is offering a great deal for their VIP club. With your annual membership fee of $20, you are entitled to 2 free admissions and you will only pay $4.75 for all the other movies you see that year. <br/><br/>Please calculate how much it will cost to see different numbers of movies if you join the VIP club. <br/><br/>(1) How much will it cost if you see 2 movies?<br/><br/>(2) How much will it cost if you see 6 movies?<br/><br/>(3) How much will it cost if you see 12 movies?<br/><br/>(4) How much will it cost if you see 20 movies?<br/><br/> In the row labeled formula, define a varible for the number of movies and use that variabe to write an expression that will allow you to calculate the total cost to see different numbers of movies if you join the VIP club."	"Bobby does not like Fahrenheit or Celsius thermometers and so he decided to create his own temperature scale called B-degrees. To convert from Fahrenheit to B degrees, follow these steps:<br/><br/>First, you subtract 15 from the Fahrenheit temperature.<br/>Next, you multiply the results by four.<br/>Last, you add 35 degrees.<br/><br/>(1) Convert 0 degrees Fahrenheit to B-degrees.<br/><br/>(2) Convert 32 degrees Fahrenheit to B-degrees.<br/><br/>(3) Convert 100 degrees Fahrenheit to B-degrees.<br/><br/>(4) Convert 212 degrees Fahrenheit to B-degrees. <br/><br/>In the row labeled ""Expression"", define a variable for the number of degrees Fahrenheit and use that variable to write an expression that will allow you to calculate the new temperature in B-degrees."	"It's spring time, and Melissa is buying pansies for her garden. The pansies cost $7 per bunch, and each bunch contains 6 pansy plants. While at the Garden Center, Melissa also sees a beautiful yellow miniture-rose bush and decides she has to buy it regardless of the cost. Roses are much more expensive than pansies - the bush costs her $30. Now she must determine howmany pansies she can afford.<br/><br/>(1) If Melissa buys 3 bunches of pansies, how much will she spend at the Garden Center?<br/><br/>(2) How much will Melissa spend at the  Garden Center if she buys 6 bunches of pansies?<br/><br/>(3) If Melissa can afford to spend $65 on plants this spring how many bunches of pansies can she buy?<br/><br/>(4) How many bunches of pansies can Melissa buy if she budgets $100 for spring plant buying? <br/><br/>In the row labled Formula, define a variable for the bunches of pansies Melissa buys and use that variable to write an expressino that will allow you to calculate the total amount Melissa spends at the Garden Center this spring."	"Tiffany Shears, a new solo recording artist, recently signed a 5-CD deal with her record label. As part of the agreement, the company will grant Tiffany an advance sum of $25,000 before the release of her debut CD. Furthermore, she will get $0.25 for each CD that is sold in stores across the country. <br/><br/>(1) How much will Tiffany make if her CD sells 12,000 copies?<br/><br/>(2) If 52,000 copies of her CD are sold, how much will she make altogether?<br/><br/>(3) How many copies of her CD are sold if she makes a total of $50,000<br/><br/>(4) How many copies of her CD are sold if she makes $200,000 <br/><br/> In the row labeled Formula, define a variable for the number of CDs sold and use that variable to write an expression that will allow you to calculate the total amount of money Tiffany makes."	"Kristi is planning a trip to Salt Lake City to attend the Winter Olympic Games. First she must make sure she has saved enough money to afford the airfare and the admission fee for all of the events she wishes to attend during the 14 days of the Games. She finds a great deal on CheapTix.com a roundtrip ticket to Salt Lake for $180 and each competition she wishes to attend will cost $15.<br/><br/>(1) If Kristi only plans to attend 3 figure skating competitions and 1 speed skating event how much money will she need for the trip?<br/><br/>(2) If Kristi wants to attend all 10 downhill skiing events and 4 bobsled competitions how much will the trip cost?<br/><br/>(3) How many Olympic events does Kristi attend if her trip costs her $480 altogether?<br/><br/>(4) If Kristi pays a total of $630 for her trip, how many competitions does she attend?<br/><br/>In the row labeled ""Expression"", define a variable for the number of events and use that variable to write an expression that will allow you to calculate the total amountmoney Kristi needs."	"Natalie is baking snowflake-shaped cookies for her class's winter party. There are 30 kids in her class, but she is running low on flour. Since she also has to bake a birthday cake for her mother, she is worried she won't have enough flour to make the cookies. The recipe for the birthday cake uses 5 cups of flour, and it takes two cups of flour to tmake a dozen cookies.<br/><br/>(1) If Natalia bakes three dozen cookies, how many cups of flour does she need to have?.<br/><br/>(2) If Natalie bakes five dozen cookies, enough for each classmate t have two, how many cups of flours must she have?.<br/><br/>(3) If Natalia measures out the rest of her flour and finds that she has 13 cups remaining, how many dozens of cookies can she bake after making her mom's cake?.<br/><br/>(4) How many dozens of cookies can Natalia bake if she finds she has only 17 cups of flour left?"
%(nameleft)%	The number of people attending	The number of books she writes	The number of movies	The number of degrees fahrenheit	The number of bunches of pansies	The number of CDs sold	The number of events	The number of dozens of cookies
%(namemid)%	Show Your Work	Show Your Work	Show Your Work	Show Your Work	Show Your Work	Show Your Work	Show Your Work	Show Your Work
%(nameright)%	The total cost	The total amount donated	The total cost to movies	The temperature in B-degrees	The amount of money she budgets	The total amount of money made	The total amount of money she budgets	The total number of cups of flours needed
%(unitname)%	Unit	Unit	Unit 	Unit	Unit	Unit	Unit	Unit
%(unitleft)%	people	books	movies	degrees	bunches	CDs	events	dozens
%(unitmid)%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
%(unitright)%	dollars	dollars	dollars	degrees	dollars	dollars	dollars	cups
%(fourthname)%	Expression	Expression	4	4	4	4	4	4
%(fifthname)%			Expression	Expression	Expression	Expression	Expression	Expression
%(firstleft)%	100	12	2	0	3	12000	4	3
%(hint1c1-1)%	"For question 1, you have not yet entered a given value. Look at the question on the left, what do you already know from the question?"	"For question 1, you have not yet entered a given value. Look at the question on the left, what do you already know from the question?"	"For question 1, you have not yet entered a given value. Look at the question on the left, what do you already know from the question?"	"For question 1, you have not yet entered a given value. Look at the question on the left, what do you already know from the question?"	"For question 1, you have not yet entered a given value. Look at the question on the left, what do you already know from the question?"	"For question 1, you have not yet entered a given value. Look at the question on the left, what do you already know from the question?"	"For question 1, you have not yet entered a given value. Look at the question on the left, what do you already know from the question?"	"For question 1, you have not yet entered a given value. Look at the question on the left, what do you already know from the question?"
%(hint1c1-2)%	A given value in this question represents people attending the party. Please type this given value into the correct place in the table.	A given value in this question represents the number of books she will write. Please type this given value into the correct place in the table.	A given value in this question represents the number of movies. Please type this given value into the correct place in the table.	A given value in this question represents the number of degrees. Please type this given value into the correct place in the table.	A given value in this question represents the number of bunches of pansies she buys. Please type this given value into the correct place in the table.	A given value in this question represents the number of CDs she sells. Please type this given value into the correct place in the table.	A given value in this question represents number of events she attend. Please type this given value into the correct place in the table.	A given value in this question represents number of dozens of cookies she bakes. Please type this given value into the correct place in the table.
%(firstmid)%	500+10*(100-3)	500000+15000*(12+5)	4.75*(2-2)+20	4*(0-15)+35	(3*7)+30	12000/4+25000	(4*15)+180	(3*2)+5
%(hint1c2-1)%	Write an arithmetic expression that shows the cost of hiring the band and + the cost that depends on how many people are invited.	Write an arithmetic expression that shows the initial donation + the cost that depends on how many books she writes.	Write an arithmetic expression that shows the cost of joininig the club + the cost that depends on how many movies you see.	Write an arithmetic expression that shows the amount you addin the third step + the number that depends on the number of degrees Fahrenheit	Write a numercial expression that shows how to compute the total amount of money she budgets for her garden when the number of bunches of pansies she buys is 3.	Write a numerical expression that shows how to compute the total amount of money she makes when the number of CDs she sell is 12000.	Write a numerical expression that shows how to compute total amount of money she budgets for the trip when number of events she attends is 4.	Write a numerical expression that shows how to compute total number of cups of flour she needs when number of dozens of cookies she bakes is 3.
