Problem Name	1	2	3	4	5	6	7	8	9	10	11	12	13	14	circle1	circle2	circle3	0intro
%(startStateNodeName)%	example1	example2	example3															
																		
%(statement)%	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"The bar graph above shows the number of shapes of a particular color in a set. Using this information, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"The bar graph above shows the number of shapes of a particular color in a set. Using this information, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"The bar graph above shows the number of shapes of a particular color in a set. Using this information, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"The clock shows what Sally was doing from lunchtime (12pm) to midnight (12am) one day. Using this information, answer questions 1 through 4 in the worksheet provided."	"Sam bought a pizza that is half pepperoni and half mushroom to share with his friend. Using the diagram of the pizza, answer questions 1 through 4 in the worksheet provided."	"Oleg's mother likes to bake a unique cake that comes in three flavors with 2 different creams. Using the diagram of the cake, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."
%(graphic)%	Assets/01.png	Assets/02.png	Assets/03.png	Assets/04.png	Assets/05.png	Assets/06.png	Assets/07.png	Assets/08.png	Assets/09.png	Assets/10.png	Assets/11.png	Assets/12.png	Assets/13.png	Assets/14.png	Assets/15.png	Assets/16.png	Assets/17.png	Assets/00.png
																		
%(question1)%	1. What percent of the shapes are squares?	1. What percent of the shapes are purple or yellow?	1. What percent of the shapes are red or blue?	1. What percent of the items are not blue?	1. What percent of the shapes are green?	1. What percent of the shapes are circles?	1. What percent of the items are green?	1. What percent of the shapes are green?	1. What percent of the items are yellow or green?	1. What percent of the shapes are yellow?	1. What percent of the shapes are blue circles?	1. What percent of the shapes are circles?	1. What percent of the shapes are green circles?	1. What percent of the shapes are not yellow?	"1. While awake, what is the percent of the time Sally spent eating lunch?"	"1. If Sam eats 2 pieces of pizza, what percent of the whole pizza did he eat?"	1. Oleg's favorite flavor is blueberry. What percent of the cake is Oleg's favorite?	1. What percent of the shapes are squares?
%(question2)%	2. What percent of the shapes are purple?	2. What percent of the shapes are purple?	2. What percent of the shapes are not purple?	2. What percent of the items are not purple?	2. What percent of the shapes are yellow?	2. What percent of the shapes are yellow?	2. What percent of the items are blue?	2. What percent of the shapes are blue?	2. What percent of the items are yellow?	2. What percent of the shapes are circles?	2. What percent of the shapes are red?	2. What percent of the shapes are circles or squares?	2. What percent of the shapes are squares?	2. What percent of the shapes are yellow?	"2. While awake, what is the percent of the time Sally spent playing with her friends?"	"2. If Sam eats just one piece of mushroom pizza, what percent of the whole pizza did he eat?"	"2. Oleg's little sister, Faina's favorite is cakes with chocolate cream. What percent of the cake is this?"	2. What percent of the shapes are circles?
%(question3)%	3. What percent of the shapes are not blue?	3. What percent of the shapes are black?	3. What percent of the shapes are squares?	3. What percent of the items are yellow?	3. What percent of the shapes are blue?	3. What percent of the shapes are green or blue?	3. What percent of the items are not yellow?	3. What percent of the shapes are circles?	3. What percent of the items are green?	3. What percent of the shapes are not yellow?	3. What percent of the shapes are green?	3. What percent of the shapes are red?	3. What percent of the shapes are green circles or black circles?	3. What percent of the shapes are black?	"3. While awake, what is the percent of the time Sally spent not doing her homework?"	"3. If Sam eats just one mushroom pizza, what percent of the mushroom pizzas did he eat?"	3. What percent of the entire cake is Oleg's and Faina's favorite at the same time?	3. What percent of the shapes are green?
%(question4)%	4. What percent of the shapes are red?	4. What percent of the shapes are green?	4. What percent of the shapes are blue squares?	4. What percent of the items are red?	4. What percent of the shapes are not blue?	4. What percent of the shapes are squares?	4. What percent of the items are green or yellow?	4. What percent of the shapes are black?	4. What percent of the items are not yellow?	4. What percent of the shapes are blue or red?	4. What percent of the shapes are red circles?	4. What percent of the shapes are blue?	4. What percent of the shapes are purple?	4. What percent of the shapes are not circles?	4. What is the percent of the time Sally spent eating lunch and dinner from 12pm to 12am?	"4. If Sam ate 2 pepperoni pizzas, what percent of the pepperoni pizzas did he eat?"	"4. If Faina eats all of the chocolate creamed pieces, what percent of the left over cakes will be Oleg's favorites?"	4. What percent of the shapes are purple?
																		
