Problem Name	1	2	3	4	5	6	7	8	9	10	11	12	13	14	circle1	circle2	circle3	0intro
%(startStateNodeName)%	example1	example2	example3															
%(statement)%	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"The bar graph above shows the number of shapes of a particular color in a set. Using this information, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"The bar graph above shows the number of shapes of a particular color in a set. Using this information, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"The bar graph above shows the number of shapes of a particular color in a set. Using this information, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"The clock shows what Sally was doing from lunchtime (12pm) to midnight (12am) one day. Using this information, answer questions 1 through 4 in the worksheet provided."	"Sam bought a pizza that is half pepperoni and half mushroom to share with his friend. Using the diagram of the pizza, answer questions 1 through 4 in the worksheet provided."	"Oleg's mother likes to bake a unique cake that comes in three flavors with 2 different creams. Using the diagram of the cake, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."
%(graphic)%	images/01.png	images/02.png	images/03.png	images/04.png	images/05.png	images/06.png	images/07.png	images/08.png	images/09.png	images/10.png	images/11.png	images/12.png	images/13.png	images/14.png	images/15.png	images/16.png	images/17.png	images/00.png
%(question1)%	What percent of the shapes are %(type1)%?	What percent of the shapes are %(type1)%?	What percent of the shapes are %(type1)%?	What percent of the items are %(type1)%?	What percent of the shapes are %(type1)%?	What percent of the shapes are %(type1)%?	What percent of the items are %(type1)%?	What percent of the shapes are %(type1)%?	What percent of the items are %(type1)%?	What percent of the shapes are %(type1)%?	What percent of the shapes are %(type1)%?	What percent of the shapes are %(type1)%?	What percent of the shapes are %(type1)%?	What percent of the shapes are %(type1)%?	"While awake, what is the percent of the time Sally spent %(type1)%?"	"If Sam eats 2 pieces of pizza, what percent of the whole pizza did he eat?"	Oleg's favorite flavor is blueberry. What percent of the cake is Oleg's favorite?	What percent of the shapes are %(type1)%?
%(question2)%	What percent of the shapes are %(type2)%?	What percent of the shapes are %(type2)%?	What percent of the shapes are %(type2)%?	What percent of the items are %(type2)%?	What percent of the shapes are %(type2)%?	What percent of the shapes are %(type2)%?	What percent of the items are %(type2)%?	What percent of the shapes are %(type2)%?	What percent of the items are %(type2)%?	What percent of the shapes are %(type2)%?	What percent of the shapes are %(type2)%?	What percent of the shapes are %(type2)%?	What percent of the shapes are %(type2)%?	What percent of the shapes are %(type2)%?	"While awake, what is the percent of the time Sally spent %(type2)%?"	"If Sam eats just one piece of mushroom pizza, what percent of the whole pizza did he eat?"	"Oleg's little sister, Faina's favorite is cakes with chocolate cream. What percent of the cake is this?"	What percent of the shapes are %(type2)%?
%(question3)%	What percent of the shapes are %(type3)%?	What percent of the shapes are %(type3)%?	What percent of the shapes are %(type3)%?	What percent of the items are %(type3)%?	What percent of the shapes are %(type3)%?	What percent of the shapes are %(type3)%?	What percent of the items are %(type3)%?	What percent of the shapes are %(type3)%?	What percent of the items are %(type3)%?	What percent of the shapes are %(type3)%?	What percent of the shapes are %(type3)%?	What percent of the shapes are %(type3)%?	What percent of the shapes are %(type3)%?	What percent of the shapes are %(type3)%?	"While awake, what is the percent of the time Sally spent %(type3)%?"	"If Sam eats just one mushroom pizza, what percent of the mushroom pizzas did he eat?"	What percent of the entire cake is Oleg's and Faina's favorite at the same time?	What percent of the shapes are %(type3)%?
%(question4)%	What percent of the shapes are %(type4)%?	What percent of the shapes are %(type4)%?	What percent of the shapes are %(type4)%?	What percent of the items are %(type4)%?	What percent of the shapes are %(type4)%?	What percent of the shapes are %(type4)%?	What percent of the items are %(type4)%?	What percent of the shapes are %(type4)%?	What percent of the items are %(type4)%?	What percent of the shapes are %(type4)%?	What percent of the shapes are %(type4)%?	What percent of the shapes are %(type4)%?	What percent of the shapes are %(type4)%?	What percent of the shapes are %(type4)%?	What is the percent of the time Sally spent %(type4)% from 12pm to 12am?	"If Sam ate 2 pepperoni pizzas, what percent of the pepperoni pizzas did he eat?"	"If Faina eats all of the chocolate creamed pieces, what percent of the left over cakes will be Oleg's favorites?"	What percent of the shapes are %(type4)%?
%(type1)%	squares	purple or yellow	red or blue	not blue	green	circles	green	green	yellow or green	yellow	blue circles	circles	green circles	not yellow	eating lunch	-	-	squares
%(type2)%	purple	purple	not purple	not purple	yellow	yellow	blue	blue	yellow	circles	red	circles or squares	squares	yellow	playing with her friends	-	-	circles
%(type3)%	not blue	black	squares	yellow	blue	green or blue	not yellow	circles	green	not yellow	green	red	green circles or black circles	black	not doing her homework	-	-	green
